Every ^at++++=Every
game ^nn++++=game
of ^in++++=of
capoeira ^nn+++??+=capoeira
begins ^vbz++++=begins
in ^in++++=in
front ^in"++++=front
of ^in"++++=of
the ^ati++++=the
leader ^nn++++=leader,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
position ^nn+nom+++=position
known ^vbd+vprv++xvbn+=known
as ^in++++=as
" ^zz++++="ao
ao ^nn+++??+=EXTRAWORD
p ^zz++++=p
do ^vb+do+vrb++=do
berimbau ^nn+++??+=berimbau,"
, ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
which ^whp+who+++=which
translates ^nns+nom+++=translates
literally ^rb++++=literally
to ^to++++=to
" ^zz++++="at
at ^rb++++=EXTRAWORD
the ^ati++++=the
foot ^nn++++=foot
of ^in++++=of
the ^ati++++=the
berimbau ^nn++++=berimbau."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
