Capoeira ^np+++??+=Capoeira
is ^vbz+bez+aux++=is
commonly ^rb++splt++=commonly
described ^vpsv++agls+xvbnx+=described
as ^ql++++=as
a ^at++++=a
game ^nn++++=game
( ^zz++++=(jogo
jogo ^nn+++??+=EXTRAWORD
in ^in++++=in
Portuguese ^jj++++=Portuguese)
) ^zz++++=EXTRAWORD
and ^cc++++=and
is ^vbz+bez+aux++=is
therefore ^rb+cnj+splt++=therefore
played ^vpsv++agls+xvbnx+=played
rather ^rb++++=rather
than ^in++++=than
fought ^nn++++=fought.
. ^zz++++=EXTRAWORD
Participants ^nns+nom+++=Participants
form ^vb++++=form
a ^at++++=a
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
known ^j+++xvbn+=known
as ^ql++++=as
a ^at++++=a
roda ^nn+++??+=roda
in ^in++++=in
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
also ^rb++++=also
refers ^vbz++++=refers
to ^in++++=to
the ^ati++++=the
social ^jj++++=social
gathering ^jj+++xvbg+=gathering
where ^wrb+who+++=where
capoeira ^nn+++??+=capoeira
takes ^vbz++++=takes
place ^nn++++=place.
. ^zz++++=EXTRAWORD
The ^ati++++=The
game ^nn++++=game
is ^vbz+bez+aux++=is
accompanied ^vpsv++by+xvbnx+=accompanied
by ^in++++=by
music ^nn++++=music
performed ^vwbn+++xvbn+=performed
by ^in++++=by
an ^at++++=an
ensemble ^nn++++=ensemble
called ^vbd+++xvbn+=called
the ^ati++++=the
bateria ^nn+++??+=bateria,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
positioned ^vpsv++agls+xvbnx+=positioned
at ^in++++=at
the ^ati++++=the
edge ^nn++++=edge
of ^in++++=of
the ^ati++++=the
circle ^nn++++=circle,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
musicians ^nns++++=musicians
seated ^xvbn+++xvbn+=seated
on ^in++++=on
chairs ^nns++++=chairs
or ^cc++++=or
a ^at++++=a
bench ^nn++++=bench.
. ^zz++++=EXTRAWORD
