Our ^pp$+pp1+++=Our
results ^nns++++=results
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
the ^ati++++=the
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness
of ^in++++=of
liana ^nn+++??+=liana
leaf ^nn++++=leaf
laminas ^nns+++??+=laminas
increases ^vbz++++=increases
as ^ql++++=as
the ^ati++++=the
leaves ^nns++++=leaves
dry ^jj++++=dry,
, ^zz++++=EXTRAWORD
consistent ^jj++++=consistent
with ^in++++=with
findings ^nns++++=findings
from ^in++++=from
previous ^jj+atrb+++=previous
studies ^nns++++=studies
on ^in++++=on
grass ^nn++++=grass
leaves ^nns++++=leaves
( ^zz++++=(Niklas
niklas ^nns+++??+=EXTRAWORD
1992 ^cd+date+++=1992;
; ^zz++++=EXTRAWORD
Vincent ^np++++=Vincent
1990b ^cd++++=1990b,
, ^zz++++=EXTRAWORD
1983 ^cd+date+++=1983).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
As ^in++++=As
moisture ^nn++++=moisture
content ^nn++++=content
decreases ^vbz++++=decreases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
leaves ^nns++++=leaves
exhibit ^vb++++=exhibit
increased ^vbd+++xvbn+=increased
brittleness ^nns+nom+++=brittleness,
, ^zz++++=EXTRAWORD
reflected ^j+++xvbn+=reflected
in ^in++++=in
greater ^jjr+atrb+++=greater
notch ^nn++++=notch
sensitivity ^nn+nom+++=sensitivity.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
at ^rb++++=at
10 ^cd++++=10%
% ^zz++++=EXTRAWORD
moisture ^nn++++=moisture
content ^nn++++=content,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness
of ^in++++=of
A ^at++++=A.
. ^zz++++=EXTRAWORD
crucigerum ^nn+++??+=crucigerum
leaves ^nns++++=leaves
is ^vbz+bez+vrb++=is
280 ^cd++++=280
J ^zz++++=J
m ^zz++++=m
, ^zz++++=,
whereas ^cs+sub+++=whereas
at ^in++++=at
50 ^cd++++=50%
% ^zz++++=EXTRAWORD
moisture ^nn++++=moisture
content ^nn++++=content,
, ^zz++++=EXTRAWORD
the ^ati++++=the
average ^jj+atrb+++=average
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness
decreases ^vbz++++=decreases
to ^to++++=to
200 ^cd++++=200
J ^zz++++=J
m ^zz++++=m
, ^zz++++=,
representing ^vbg+++xvbg+=representing
a ^at++++=a
30 ^cd++++=30%
% ^zz++++=EXTRAWORD
reduction ^nn+nom+++=reduction.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
detailed ^jj+atrb+++=detailed
analyses ^nns++++=analyses
of ^in++++=of
the ^ati++++=the
effects ^nns++++=effects
of ^in++++=of
dehydration ^nn+nom+++=dehydration
on ^in++++=on
leaf ^nn++++=leaf
fracture ^nn++++=fracture
toughness ^nns+nom+++=toughness
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
for ^in++++=for
a ^at++++=a
limited ^jj+atrb++xvbn+=limited
number ^nn++++=number
of ^in++++=of
species ^nn++++=species,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
grasses ^nns++++=grasses
( ^zz++++=(Vincent
vincent ^np++++=EXTRAWORD
1983 ^cd+date+++=1983,
, ^zz++++=EXTRAWORD
1990b ^cd++++=1990b),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study
extends ^vbz++++=extends
this ^dt+dem+++=this
investigation ^nn+nom+++=investigation
to ^in++++=to
liana ^nn++++=liana
leaves ^nns++++=leaves.
. ^zz++++=EXTRAWORD
