Although ^cs+con+++=Although
the ^ati++++=the
aforementioned ^jj+atrb++xvbn+=aforementioned
archives ^nn++++=archives
encompass ^nns+++??+=encompass
a ^at++++=a
broad ^jj+atrb+++=broad
range ^nn++++=range
of ^in++++=of
geographic ^jj+atrb+++=geographic
regions ^nns++++=regions
and ^cc++++=and
collection ^nn+nom+++=collection
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
may ^md+pos+++=may
not ^xnot++not++=not
be ^vb+be+vrb++=be
suitable ^jj+pred+++=suitable
for ^in++++=for
all ^abn++++=all
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation
projects ^nns++++=projects.
. ^zz++++=EXTRAWORD
Alternative ^jj+atrb+++=Alternative
options ^nns+nom+++=options
include ^vb++++=include
digital ^jj+atrb+++=digital
data ^nns++++=data
repositories ^nns++++=repositories
maintained ^vwbn+vpub++xvbn+=maintained
by ^in++++=by
various ^jj+atrb+++=various
universities ^nns+nom+++=universities.
. ^zz++++=EXTRAWORD
Linguistic ^jj+atrb+++=Linguistic
datasets ^nns+++??+=datasets,
, ^zz++++=EXTRAWORD
excluding ^vbg+++xvbg+=excluding
primary ^jj+atrb+++=primary
data ^nns++++=data
from ^in++++=from
language ^nn+nom+++=language
documentation ^nn+nom+++=documentation,
, ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
deposited ^vpsv++agls+xvbnx+=deposited
in ^in++++=in
the ^ati++++=the
Troms ^np+++??+=Troms
Repository ^nn++++=Repository
of ^in++++=of
Language ^nn+nom+++=Language
and ^cc++++=and
Linguistics ^nn++++=Linguistics
( ^zz++++=(TROLLing,
trolling ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
https ^nns+++??+=https://site.uit.no/trolling/about/).
: ^zz++++=EXTRAWORD
Both ^abx++++=Both
primary ^jj+atrb+++=primary
and ^cc+phrs+++=and
secondary ^jj+atrb+++=secondary
data ^nns++++=data,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
datasets ^nns+++??+=datasets,
, ^zz++++=EXTRAWORD
can ^md+pos+++=can
be ^vb+be+aux++=be
archived ^vpsv++agls+xvbnx+=archived
in ^rb++++=in
general ^rb"++++=general-purpose
- ^zz++++=EXTRAWORD
purpose ^nn++++=EXTRAWORD
repositories ^nns++++=repositories
such ^abl++++=such
as ^ql++++=as
Zenodo ^np+++??+=Zenodo
( ^zz++++=(https://zenodo.org/)
https ^nns+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
Harvard ^np++++=Harvard
Dataverse ^np+++??+=DataVerse
( ^zz++++=(https://dataverse.harvard.edu/).
https ^nns+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Further ^jjb+atrb+++=Further
options ^nns+nom+++=options
are ^vb+ber+vrb++=are
available ^jj+pred+++=available
in ^in++++=in
the ^ati++++=the
registry ^nn++++=Registry
of ^in++++=of
research ^nn++++=Research
data ^nns++++=Data
repositories ^np++++=Repositories
( ^zz++++=(https://www.re3data.org/).
https ^nns++++=EXTRAWORD
: ^zz++++=EXTRAWORD
