Another ^dt++++=Another
point ^nn++++=point
to ^to++++=to
note ^vbi+vprv+++=note
is ^vbz+bez+vrb++=is
that ^tht+vcmp+++=that
the ^ati++++=the
nine ^cd++++=nine
states ^vbz+vpub+++=states
analyzed ^vbd+++xvbn+=analyzed
display ^nn++++=display
similar ^jj+atrb+++=similar
percentages ^nns+nom+++=percentages
across ^in+pl+++=across
the ^ati++++=the
different ^jj+atrb+++=different
types ^nns++++=types
of ^in++++=of
collaboration ^nn+nom+++=collaboration.
. ^zz++++=EXTRAWORD
The ^ati++++=The
variations ^nns+nom+++=variations
observed ^vbd+++xvbn+=observed
in ^in++++=in
the ^ati++++=the
table ^nn++++=table
are ^vb+ber+vrb++=are
minor ^jj+pred+++=minor,
, ^zz++++=EXTRAWORD
indicating ^vbg+vprv++xvbg+=indicating
that ^tht+vcmp+++=that
these ^dt+dem+++=these
patterns ^nns++++=patterns
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
stable ^jj+atrb+++=stable
characteristics ^nns++++=characteristics
of ^in++++=of
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
scientific ^jj+atrb+++=scientific
production ^nn+nom+++=production
landscape ^nn++++=landscape.
. ^zz++++=EXTRAWORD
To ^in++++=To
further ^jjb++++=further
support ^vb++++=support
this ^dt+dem+++=this
conclusion ^nn++++=conclusion,
, ^zz++++=EXTRAWORD
a ^at++++=a
comparison ^nn++++=comparison
is ^vbz+bez+aux++=is
made ^vpsv++agls+xvbnx+=made
with ^in++++=with
a ^at++++=a
region ^nn++++=region
that ^tht+rel+subj++=that
differs ^nns+nom+++=differs
significantly ^rb++++=significantly
from ^in++++=from
the ^ati++++=the
Northeast ^np+++??+=Northeast.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
7 ^zz++++=7
presents ^nns++++=presents
data ^nns++++=data
on ^in++++=on
collaboration ^nn+nom+++=collaboration
in ^in++++=in
the ^ati++++=the
five ^cd++++=five
most ^ap+emph+++=most
productive ^jj+atrb+++=productive
states ^nns++++=states.
. ^zz++++=EXTRAWORD
The ^ati++++=The
primary ^jj+atrb+++=primary
feature ^nn++++=feature
in ^in++++=in
this ^dt+dem+++=this
context ^nn++++=context
is ^vbz+bez+vrb++=is
the ^ati++++=the
higher ^jjr+atrb+++=higher
degree ^nn++++=degree
of ^in++++=of
in ^in++++=in-state
- ^zz++++=EXTRAWORD
state ^nn++++=EXTRAWORD
