Information ^nn+nom+++=Information
regarding ^in++++=regarding
the ^ati++++=the
publishers ^nns+nom+++=publishers
of ^in++++=of
each ^dt++++=each
journal ^nn++++=journal,
, ^zz++++=EXTRAWORD
as ^cc+cls+++=as
well ^rb++++=well
as ^cc"++++=as
details ^nns++++=details
on ^in++++=on
article ^nn++++=article
processing ^vwbg+++xvbg+=processing
charges ^nns++++=charges
( ^zz++++=(APCs),
apcs ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
obtained ^vpsv++agls+xvbn+=obtained
directly ^rb++++=directly
from ^in++++=from
the ^ati++++=the
respective ^jj+atrb+++=respective
journal ^nn++++=journal
websites ^nns++++=websites.
. ^zz++++=EXTRAWORD
