Image ^nn++++=Image
3 ^zz++++=3
presents ^nns++++=presents
two ^cd++++=two
activities ^nns++++=activities
related ^vbd+++xvbn+=related
to ^in++++=to
Units ^nns++++=Units
1 ^zz++++=1
and ^cc++++=and
2 ^zz++++=2,
, ^zz++++=EXTRAWORD
respectively ^rb+cnj+++=respectively,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
serve ^vb++++=serve
as ^ql++++=as
examples ^nns++++=examples
of ^in++++=of
the ^ati++++=the
types ^nns++++=types
of ^in++++=of
exercises ^nn++++=exercises
included ^vpsv++agls+xvbn+=included
in ^in++++=in
the ^ati++++=the
vocabulary ^nn++++=Vocabulary
corner ^nn++++=Corner
section ^nn++++=section.
. ^zz++++=EXTRAWORD
