Twenty ^cd++++=Twenty-two
- ^zz++++=EXTRAWORD
two ^cd++++=EXTRAWORD
patients ^nns++++=patients
were ^vbd+bed+aux++=were
initially ^rb+tm+splt++=initially
selected ^vpsv++agls+xvbnx+=selected
for ^in++++=for
phase ^nn++++=phase
I ^pp1a+pp1+++=I
of ^in++++=of
the ^ati++++=the
project ^nn++++=project;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
one ^cd1++++=one
patient ^nn++++=patient
did ^vbd+dod+aux++=did
not ^xnot++not++=not
attend ^vb++++=attend
the ^ati++++=the
denture ^nn+++??+=denture
fabrication ^nn+++??+=fabrication
appointment ^nn++++=appointment,
, ^zz++++=EXTRAWORD
two ^cd++++=two
patients ^nns++++=patients
were ^vbd+bed+vrb++=were
rehabilitated ^nn+++??+=rehabilitated
with ^in++++=with
partial ^jj+atrb+++=partial
dentures ^nns++++=dentures,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
one ^cd1++++=one
patient ^nn++++=patient
did ^vbd+dod+aux++=did
not ^xnot++not++=not
attend ^vb++++=attend
the ^ati++++=the
one ^cd1++++=one-year
- ^zz++++=EXTRAWORD
year ^nn++++=EXTRAWORD
reevaluation ^nn+++??+=reevaluation,
, ^zz++++=EXTRAWORD
reporting ^vbg+++xvbg+=reporting
non ^&fw++++=non-use
- ^zz++++=EXTRAWORD
use ^nn++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
dentures ^nns++++=dentures
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
expectation ^nn++++=expectation
of ^in++++=of
receiving ^xvbg+++xvbg+=receiving
implants ^nns+++??+=implants.
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
in ^in++++=in
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
exclusion ^nn++++=exclusion
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
nineteen ^cd++++=nineteen
participants ^nns++++=participants
were ^vbd+bed+aux++=were
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
phase ^nn++++=phase
I ^pp1a+pp1+++=I
of ^in++++=of
the ^ati++++=the
study ^nn++++=study
( ^zz++++=(four
four ^cd++++=EXTRAWORD
rehabilitated ^nn+++??+=rehabilitated
with ^in++++=with
maxillary ^nn+++??+=maxillary
dentures ^nns++++=dentures
and ^cc++++=and
fifteen ^cd++++=fifteen
with ^in++++=with
both ^abx++++=both
maxillary ^nn+++??+=maxillary
and ^cc++++=and
mandibular ^jj+atrb+++=mandibular
dentures ^nns++++=dentures),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
eighteen ^cd++++=eighteen
participants ^nns++++=participants
were ^vbd+bed+aux++=were
included ^vbd+++xvbn+=included
in ^in++++=in
phase ^nn++++=phase
iv ^np++++=IV.
. ^zz++++=EXTRAWORD
