In ^in++++=In
early ^jj+atrb+++=early
August ^nr++++=August,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
Brazil ^np++++=Brazil
reported ^vbd+vpub++xvbn+=reported
three ^cd++++=three
million ^cd++++=million
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
infections ^nns++++=infections
and ^cc++++=and
100,000 ^cd++++=100,000
related ^xvbn+++xvbn+=related
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
Abrasco ^np+++??+=ABRASCO,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Oxfam ^np+++??+=Oxfam
Brazil ^np++++=Brazil
Office ^nn++++=Office,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
leaders ^nns++++=leaders
of ^in++++=of
the ^ati++++=the
National ^jj+atrb+++=National
Health ^nn++++=Health
System ^nn++++=System
( ^zz++++=(SUS)
sus ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
publicly ^rb++++=publicly
accused ^vbd+++xvbn+=accused
the ^ati++++=the
government ^nn++++=government
of ^in++++=of
criminal ^jj+atrb+++=criminal
actions ^nns++++=actions
and ^cc++++=and
began ^vbd+++xvbn+=began
employing ^vbg+++xvbg+=employing
the ^ati++++=the
term ^nn++++=term
" ^zz++++="necropolitics."
necropolitics ^nns+++??+=EXTRAWORD
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
Prior ^in+cmpx+++=Prior
to ^in"++++=to
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
necropolitics ^nns+++??+=necropolitics
had ^vb+hv+aux++=had
primarily ^rb+down+splt++=primarily
been ^vprf+ben+aux+xvbnx+=been
applied ^vpsv++agls+xvbnx+=applied
in ^in++++=in
studies ^nns++++=studies
examining ^vwbg+++xvbg+=examining
police ^nns++++=police
violence ^nn++++=violence
in ^in++++=in
favelas ^nns+++??+=favelas
and ^cc++++=and
the ^ati++++=the
mass ^nn++++=mass
incarceration ^nn+++??+=incarceration
of ^in++++=of
Afro ^np+++??+=Afro-Brazilians
- ^zz++++=EXTRAWORD
brazilians ^nn++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
of ^in++++=of
the ^ati++++=the
" ^zz++++="war
war ^nn++++=EXTRAWORD
on ^in++++=on
drugs ^nns++++=drugs."
. ^zz++++=EXTRAWORD
" ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Bolsonaro ^np+++??+=Bolsonaro
administration ^nn++++=administration
implemented ^vwbn+++xvbn+=implemented
policies ^nns++++=policies
that ^tht+rel+subj++=that
disproportionately ^rb++++=disproportionately
affected ^vbd+++xvbn+=affected
marginalized ^nn+++??+=marginalized
populations ^nns++++=populations,
, ^zz++++=EXTRAWORD
effectively ^rb++++=effectively
compelling ^jj+++xvbg+=compelling
low ^jj++++=low-income
- ^zz++++=EXTRAWORD
income ^nn++++=EXTRAWORD
individuals ^nns++++=individuals
to ^to++++=to
choose ^vbi++++=choose
between ^in++++=between
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
hunger ^nn++++=hunger
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
isolation ^vb++++=isolation
and ^cc++++=and
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
covid ^np++++=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
exposure ^nn++++=exposure
due ^jj++++=due
to ^in+jcmp+++=to
unprotected ^jj+atrb+++=unprotected
work ^nn++++=work.
. ^zz++++=EXTRAWORD
