When ^wrb+who+++=When
students ^nns++++=students
discuss ^vb++++=discuss
topics ^nns++++=topics
covered ^vbd+++xvbn+=covered
in ^in++++=in
class ^nn++++=class
with ^in++++=with
others ^aps++++=others,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
frequently ^rb++++=frequently
use ^nn++++=use
gestures ^nns++++=gestures
to ^to++++=to
clarify ^vbi++++=clarify
and ^cc+phrs+++=and
communicate ^vb++++=communicate
their ^pp$+pp3+++=their
ideas ^nns++++=ideas
and ^cc++++=and
concepts ^nns++++=concepts.
. ^zz++++=EXTRAWORD
Flood ^nn++++=Flood
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2014)
2014 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
describe ^vb++++=describe
this ^dt+dem+++=this
behavior ^nn++++=behavior
as ^in++++=as
a ^at++++=a
publicly ^rb++++=publicly
observable ^jj++++=observable,
, ^zz++++=EXTRAWORD
spatially ^rb++++=spatially
dynamic ^jj+atrb+++=dynamic
mode ^nn++++=mode
of ^in++++=of
expression ^nn++++=expression,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
gestures ^nns++++=gestures
and ^cc++++=and
bodily ^jj+atrb+++=bodily
movements ^nns++++=movements
serve ^vb++++=serve
as ^in++++=as
effective ^jj+atrb+++=effective
resources ^nns++++=resources
for ^in++++=for
collectively ^nn+++??+=collectively
conceptualizing ^nn+++??+=conceptualizing
the ^ati++++=the
submicroscopic ^nn+++??+=submicroscopic,
, ^zz++++=EXTRAWORD
three ^cd++++=three-dimensional,
- ^zz++++=EXTRAWORD
dimensional ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
dynamic ^jj+atrb+++=dynamic
phenomena ^nns++++=phenomena
characteristic ^nn++++=characteristic
of ^in++++=of
chemistry ^nn++++=chemistry.
. ^zz++++=EXTRAWORD
