Mayors ^np+++??+=Mayors
present ^nn++++=present
their ^pp$+pp3+++=their
requests ^vb++++=requests
to ^to+vcmp+++=to
the ^ati++++=the
legislator ^nn++++=legislator,
, ^zz++++=EXTRAWORD
often ^rb++++=often
seeking ^jj+atrb++xvbg+=seeking
assistance ^nn++++=assistance
with ^in++++=with
particularly ^rb++++=particularly
complex ^jj+atrb+++=complex
projects ^nns++++=projects,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
in ^in++++=in
these ^dt+dem+++=these
cases ^nns++++=cases,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
provide ^vb+vsua+++=provide
support ^nn++++=support
by ^in++++=by
formulating ^xvbg+++xvbg+=formulating
appropriate ^jj+atrb+++=appropriate
arguments ^nns++++=arguments.
. ^zz++++=EXTRAWORD
The ^ati++++=The
mayors ^npts++++=mayors
frequently ^rb++++=frequently
encounter ^vb++++=encounter
significant ^jj++++=significant
challenges ^vbz++++=challenges
in ^in++++=in
this ^dt+dem+++=this
process ^nn++++=process,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and,
, ^zz++++=EXTRAWORD
given ^vpbn+v++xvbn+=given
our ^pp$+pp1+++=our
expertise ^nn++++=expertise,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
offer ^nn++++=offer
guidance ^nn++++=guidance
and ^cc++++=and
assistance ^nn++++=assistance.
. ^zz++++=EXTRAWORD
We ^pp1a+pp1+++=We
receive ^vb++++=receive
the ^ati++++=the
relevant ^jj+atrb+++=relevant
documents ^nns++++=documents,
, ^zz++++=EXTRAWORD
process ^nn++++=process
them ^pp3o+pp3+++=them,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
follow ^vb+vprv+++=follow
the ^ati++++=the
necessary ^jj+atrb+++=necessary
administrative ^jj+atrb+++=administrative
procedures ^nns++++=procedures
( ^zz++++=(Chief
chief ^jjb++++=EXTRAWORD
of ^in++++=of
staff ^nn++++=Staff
2 ^zz++++=2).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
