Samuels ^np+++??+=Samuels
( ^zz++++=(2002)
2002 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
highlighted ^vbd+++xvbn+=highlighted
the ^ati++++=the
risk ^nn++++=risk
of ^in++++=of
mayors ^npts++++=mayors
appropriating ^jj+atrb+++=appropriating
credit ^nn++++=credit
for ^in++++=for
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
legislative ^jj+atrb+++=legislative
amendments ^nns++++=amendments
allocated ^vwbn+++xvbn+=allocated
to ^in++++=to
municipalities ^nns+++??+=municipalities.
. ^zz++++=EXTRAWORD
To ^to++++=To
mitigate ^vbi++++=mitigate
this ^dt+dem+++=this
issue ^nn++++=issue,
, ^zz++++=EXTRAWORD
representatives ^nns++++=representatives
may ^md+pos+++=may
prioritize ^vb+++??+=prioritize
amendments ^nns++++=amendments
for ^in++++=for
municipalities ^nn++++=municipalities
governed ^vwbn+++xvbn+=governed
by ^in++++=by
members ^nns++++=members
of ^in++++=of
their ^pp$+pp3+++=their
own ^ap++++=own
party ^nn++++=party
( ^zz++++=(Bai
bai ^nn+++??+=EXTRAWORD
o ^zz++++=o
and ^cc++++=and
Couto ^np+++??+=Couto,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017)
) ^zz++++=EXTRAWORD
or ^cc++++=or
establish ^vb+vprv+++=establish
alternative ^jj+atrb+++=alternative
direct ^jj+atrb+++=direct
communication ^nn++++=communication
channels ^nns++++=channels
with ^in++++=with
the ^ati++++=the
local ^jj+atrb+++=local
population ^nn++++=population.
. ^zz++++=EXTRAWORD
