Brokers ^np+++??+=Brokers
are ^vb+ber+vrb++=are
typically ^rb++++=typically
unelected ^jj+atrb++??+=unelected
individuals ^nns++++=individuals
who ^whp+rel+subj++=who
occupy ^vb++++=occupy
leadership ^nn++++=leadership
positions ^nns++++=positions
or ^cc++++=or
possess ^vb++++=possess
social ^jj+atrb+++=social
or ^cc+phrs+++=or
political ^jj+atrb+++=political
capital ^nn++++=capital
that ^tht+rel+subj++=that
enables ^vbz++++=enables
them ^pp3o+pp3+++=them
to ^in++++=to
influence ^nn++++=influence
voters ^nns++++=voters.
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However,
, ^zz++++=EXTRAWORD
brokers ^nns++++=brokers
may ^md+pos+++=may
also ^rb++++=also
hold ^nn++++=hold
public ^jj+atrb+++=public
office ^nn++++=office,
, ^zz++++=EXTRAWORD
most ^ql+emph+++=most
commonly ^rb++++=commonly
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
level ^nn++++=level.
. ^zz++++=EXTRAWORD
Their ^pp$+pp3+++=Their
activities ^nns++++=activities
are ^vb+ber+vrb++=are
not ^xnot++not++=not
limited ^jj+++xvbn+=limited
to ^in++++=to
electoral ^jj+atrb+++=electoral
processes ^nns++++=processes;
; ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
often ^rb++++=often
play ^vb++++=play
a ^at++++=a
significant ^jj+atrb+++=significant
role ^nn++++=role
in ^in++++=in
addressing ^xvbg+++xvbg+=addressing
community ^nn++++=community
issues ^nns++++=issues
( ^zz++++=(Auyero,
auyero ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2001 ^cd++++=2001;
; ^zz++++=EXTRAWORD
Brierley ^np+++??+=Brierley
and ^cc++++=and
Nathan ^np++++=Nathan,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021)
) ^zz++++=EXTRAWORD
and ^cc++++=and
may ^md+pos+++=may
participate ^vb++++=participate
in ^in++++=in
the ^ati++++=the
implementation ^nn++++=implementation
of ^in++++=of
government ^nn++++=government
functions ^nns++++=functions
at ^in++++=at
the ^ati++++=the
local ^jj+atrb+++=local
level ^nn++++=level
( ^zz++++=(Auyero,
auyero ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2000 ^cd++++=2000;
; ^zz++++=EXTRAWORD
Zarazaga ^np+++??+=Zarazaga,
, ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
hoyler ^np++++=Hoyler,
, ^zz++++=EXTRAWORD
gelape ^np++++=Gelape,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
silotto ^np++++=Silotto,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
