Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
in ^in++++=in
the ^ati++++=the
Health ^nn++++=Health
category ^nn++++=category,
, ^zz++++=EXTRAWORD
health ^nn++++=health
is ^vbz+bez+aux++=is
regarded ^vpsv++agls+xvbnx+=regarded
as ^ql++++=as
a ^at++++=a
subject ^nn++++=subject
that ^tht+rel+subj++=that
extends ^vbz++++=extends
beyond ^in++++=beyond
physical ^jj+atrb+++=physical
education ^nn++++=education
classes ^nns++++=classes
to ^in++++=to
encompass ^nns+++??+=encompass
the ^ati++++=the
broader ^jjr+atrb+++=broader
school ^nn++++=school
curriculum ^nn++++=curriculum.
. ^zz++++=EXTRAWORD
While ^cs+sub+++=While
this ^dt+dem+++=this
perspective ^nn++++=perspective
may ^md+pos+++=may
represent ^vb++++=represent
an ^at++++=an
expanded ^jj+atrb++xvbn+=expanded
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
the ^ati++++=the
examples ^nns++++=examples
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
coordinator ^nn+++??+=coordinator
Clara ^np++++=Clara
such ^abl++++=such
as ^ql++++=as
vaccination ^nn++++=vaccination
and ^cc++++=and
oral ^jj+atrb+++=oral
hygiene ^nn++++=hygiene
primarily ^rb+down+++=primarily
reflect ^vb+vprv+++=reflect
preventive ^jj+atrb+++=preventive
actions ^nns++++=actions.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
initiatives ^nns+++??+=initiatives
are ^vb+ber+vrb++=are
valuable ^jj+pred+++=valuable
within ^in++++=within
an ^at++++=an
intersectoral ^nn+++??+=intersectoral
framework ^nn++++=framework;
; ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
they ^pp3a+pp3+++=they
remain ^vb++++=remain
largely ^rb++++=largely
confined ^vbd+++xvbn+=confined
to ^in++++=to
a ^at++++=a
cross ^jj++++=cross-curricular
- ^zz++++=EXTRAWORD
curricular ^nn+++??+=EXTRAWORD
theme ^nn++++=theme
within ^in++++=within
various ^jj+atrb+++=various
curriculum ^nn++++=curriculum
components ^nns++++=components,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
physical ^jj+atrb+++=physical
education ^nn++++=education.
. ^zz++++=EXTRAWORD
