After ^in++++=After
converting ^xvbg+++xvbg+=converting
the ^ati++++=the
Youtube ^np+++??+=YouTube
text ^nn++++=text
into ^in++++=into
a ^at++++=a
readable ^jj+atrb+++=readable
manuscript ^nn++++=manuscript,
, ^zz++++=EXTRAWORD
the ^ati++++=the
analyst ^nn++++=analyst
used ^vwbn+++xvbn+=used
the ^ati++++=the
computer ^nn++++=computer's
's ^$++++=EXTRAWORD
snipping ^nn+++??+=snipping
tool ^nn++++=tool
to ^in++++=to
segment ^nn++++=segment
the ^ati++++=the
script ^nn++++=script
into ^in++++=into
approximately ^rb+down+++=approximately
35 ^cd++++=35
shots ^nns++++=shots,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
were ^vbd+bed+vrb++=were
categorized ^nn+++??+=categorized
according ^in++++=according
to ^to++++=to
four ^cd++++=four
distinct ^jj++++=distinct
high ^jj++++=high-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
mediated ^nn+++??+=mediated
actions ^nns++++=actions
( ^zz++++=(HLMA)
hlma ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
defined ^nn++++=defined
by ^in++++=by
Baldry ^np+++??+=Baldry
and ^cc++++=and
Thibault ^np+++??+=Thibault
( ^zz++++=(2010)
2010 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
Norris ^np+++??+=Norris
( ^zz++++=(2019).
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Each ^ppls++++=Each
Hlma ^np+++??+=HLMA
comprises ^vbz++++=comprises
several ^ap++++=several
low ^jj++++=low-level
- ^zz++++=EXTRAWORD
level ^nn++++=EXTRAWORD
mediated ^nn+++??+=mediated
actions ^nns++++=actions
( ^zz++++=(LLMA)
llma ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
utilize ^nn++++=utilize
various ^jj++++=various
meaning ^jj+++xvbg+=meaning-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
modes ^nns++++=modes.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
shot ^nn+++xvbn+=shot,
, ^zz++++=EXTRAWORD
designated ^j+++xvbn+=designated
as ^ql++++=as
O ^zz++++=O-BT
- ^zz++++=EXTRAWORD
bt ^npt++++=EXTRAWORD
( ^zz++++=(Oral-B
oral ^jj++++=EXTRAWORD
- ^zz++++=EXTRAWORD
b ^zz++++=EXTRAWORD
Transcript ^np+++??+=Transcript),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
labeled ^nn+++??+=labeled
with ^in++++=with
its ^pp$+it+++=its
corresponding ^jj+atrb++xvbg+=corresponding
operational ^jj+atrb+++=operational
time ^nn++++=time
period ^nn++++=period
( ^zz++++=(e.g.,
e.g ^rb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
O ^zz++++=O-BT1
- ^zz++++=EXTRAWORD
bt1 ^nn+++??+=EXTRAWORD
( ^zz++++=(00:00
00:00 ^nn+++??+=EXTRAWORD
00:01) ^nn+++??+=00:01)),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
in ^in++++=in
the ^ati++++=the
lower ^nn++++=lower
left ^vbd+++xvbn+=left
corner ^npl++++=corner.
. ^zz++++=EXTRAWORD
The ^ati++++=The
complexity ^nn++++=complexity
of ^in++++=of
the ^ati++++=the
kinesic ^nn+++??+=kinesic
actions ^nns++++=actions
necessitated ^vbd+++xvbn+=necessitated
the ^ati++++=the
creation ^nn++++=creation
of ^in++++=of
multiple ^jj+atrb+++=multiple
shots ^nns++++=shots,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
discussed ^vpsv++agls+xvbnx+=discussed
in ^in++++=in
detail ^nn++++=detail
in ^in++++=in
the ^ati++++=the
relevant ^jj+atrb+++=relevant
sections ^nns++++=sections.
. ^zz++++=EXTRAWORD
Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
Hlma ^np+++??+=HLMA
shots ^nns++++=shots
and ^cc++++=and
their ^pp$+pp3+++=their
corresponding ^jj+atrb++xvbg+=corresponding
time ^nn++++=time
intervals ^nns++++=intervals,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
Table ^nn++++=Table
2 ^zz++++=2
illustrates ^vbz+vpub+++=illustrates
the ^ati++++=the
conversion ^nn++++=conversion
of ^in++++=of
spoken ^jj+atrb++xvbn+=spoken
modes ^nns++++=modes
into ^in++++=into
written ^xvbn+++xvbn+=written
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
The ^ati++++=The
study ^nn++++=study
systematically ^rb++++=systematically
presents ^vbz++++=presents
the ^ati++++=the
shots ^nns++++=shots
and ^cc++++=and
the ^ati++++=the
analysis ^nn++++=analysis
of ^in++++=of
spoken ^jj+atrb+++=spoken
modes ^nns++++=modes
in ^in++++=in
parallel ^nn++++=parallel
within ^in++++=within
the ^ati++++=the
discussion ^nn++++=discussion
section ^nn++++=section.
. ^zz++++=EXTRAWORD
