Table ^nn++++=Table
1 ^zz++++=1
presents ^vbz++++=presents
the ^ati++++=the
distribution ^nn++++=distribution
of ^in++++=of
Hlma ^np+++??+=HLMA
across ^in+pl+++=across
specific ^jj+atrb+++=specific
time ^nn++++=time
frames ^nns++++=frames,
, ^zz++++=EXTRAWORD
along ^in++++=along
with ^in++++=with
the ^ati++++=the
corresponding ^jj+atrb++xvbg+=corresponding
number ^nn++++=number
of ^in++++=of
shots ^nns++++=shots
associated ^vwbn+++xvbn+=associated
with ^in++++=with
each ^dt++++=each
segmented ^nn++++=segmented
action ^nn++++=action.
. ^zz++++=EXTRAWORD
