Of ^in++++=Of
the ^ati++++=the
26 ^cd++++=26
respondents ^nns++++=respondents,
, ^zz++++=EXTRAWORD
46.2 ^cd++++=46.2%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=12)
n=12 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
began ^vbd+++xvbn+=began
their ^pp$+pp3+++=their
activities ^nns+nom+++=activities
in ^in++++=in
the ^ati++++=the
Usr ^np+++??+=USR
before ^in++++=before
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
20 ^cd++++=20,
, ^zz++++=EXTRAWORD
34.6 ^cd++++=34.6%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=9)
n=9 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
the ^ati++++=the
ages ^nns++++=ages
of ^in++++=of
21 ^cd++++=21
and ^cc++++=and
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
15.4 ^cd++++=15.4%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=4)
n=4 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
between ^in++++=between
25 ^cd++++=25
and ^cc++++=and
30 ^cd++++=30
years ^nns++++=years
old ^jj++++=old,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
3.8 ^cd++++=3.8%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=1)
n=1 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
at ^rb++++=at
over ^in++++=over
30 ^cd++++=30
years ^nns++++=years
old ^jj++++=old.
. ^zz++++=EXTRAWORD
These ^dt+dem+++=These
data ^nns++++=data
indicate ^nn+nom+++=indicate
that ^tht+vcmp+++=that
80.8 ^cd++++=80.8%
% ^zz++++=EXTRAWORD
( ^zz++++=(n=21)
n=21 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
respondents ^nns++++=respondents
started ^vbd+++xvbn+=started
their ^pp$+pp3+++=their
involvement ^nn+nom+++=involvement
with ^in++++=with
the ^ati++++=the
Usr ^np+++??+=USR
before ^in++++=before
the ^ati++++=the
age ^nn++++=age
of ^in++++=of
24 ^cd++++=24,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
aligns ^nns+++??+=aligns
with ^in++++=with
one ^pn++++=one
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
objectives ^nns++++=objectives
of ^in++++=of
the ^ati++++=the
Usr ^np+++??+=USR:
: ^zz++++=EXTRAWORD
to ^to++++=to
encourage ^nn+nom+++=encourage
the ^ati++++=the
early ^jj+atrb+++=early
engagement ^nn+nom+++=engagement
of ^in++++=of
young ^jj+atrb+++=young
individuals ^nns+nom+++=individuals
in ^in++++=in
research ^nn++++=research
activities ^nns+nom+++=activities,
, ^zz++++=EXTRAWORD
as ^in++++=as
recommended ^nn++++=recommended
by ^in++++=by
Cnpq ^np+++??+=CNPq
in ^in++++=in
Normative ^np+++??+=Normative
Resolution ^nn+nom+++=Resolution
No ^rb++++=No.
 ^zz++++=EXTRAWORD
17 ^nn++++=017
 ^zz++++=(Brazil,
Brazil ^np++++=EXTRAWORD
 ^zz++++=EXTRAWORD
006 ^cd++++=2006).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
