Researchers ^nns+nom++??+=Researchers
compiling ^nn+nom+++=compiling
their ^pp$+pp3+++=their
own ^ap++++=own
corpora ^nn+++??+=corpora
must ^md+nec+++=must
adhere ^vb++++=adhere
to ^in++++=to
rigorous ^jj+atrb+++=rigorous
design ^nn++++=design
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
As ^ql++++=As
Gilquin ^np+++??+=Gilquin
( ^zz++++=(2015,
2015 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
16 ^cd++++=16)
) ^zz++++=EXTRAWORD
notes ^nns++++=notes,
, ^zz++++=EXTRAWORD
such ^abl++++=such
criteria ^nns++++=criteria
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
important ^jj+pred+++=important
in ^in++++=in
the ^ati++++=the
creation ^nn+nom+++=creation
of ^in++++=of
learner ^nn++++=learner
corpora ^nn+++??+=corpora
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
considerable ^jj+atrb+++=considerable
heterogeneity ^nn+nom+++=heterogeneity
of ^in++++=of
interlanguage ^nn+nom+++=interlanguage;
; ^zz++++=EXTRAWORD
these ^dt+dem+++=these
design ^nn++++=design
considerations ^nns+nom+++=considerations
will ^md+prd+++=will
be ^vb+be+aux++=be
discussed ^vpsv++agls+xvbnx+=discussed
in ^in++++=in
detail ^nn++++=detail
in ^in++++=in
the ^ati++++=the
following ^jj+atrb++xvbg+=following
section ^nn+nom+++=section.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
there ^ex+pex+++=there
is ^vbz+bez+vrb++=is
a ^at++++=a
lack ^nn++++=lack
of ^in++++=of
research ^nn++++=research
focusing ^vwbg+++xvbg+=focusing
on ^in++++=on
texts ^nns++++=texts
produced ^vwbn+++xvbn+=produced
by ^in++++=by
students ^nns++++=students
within ^in++++=within
their ^pp$+pp3+++=their
actual ^jj+atrb+++=actual
classroom ^nn++++=classroom
writing ^vwbg+++xvbg+=writing
contexts ^nns++++=contexts
( ^zz++++=(Staples
staples ^nns++++=EXTRAWORD
& ^zz++++=&
Reppen ^np+++??+=Reppen,
, ^zz++++=EXTRAWORD
2016 ^cd++++=2016),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
a ^at++++=a
gap ^nn++++=gap
that ^tht+rel+obj++=that
the ^ati++++=the
Corifa ^np+++??+=CorIFA
corpus ^nn++++=corpus
aims ^vb++++=aims
to ^to+vcmp+++=to
address ^nns+nom+++=address
by ^in++++=by
compiling ^nn+nom+++=compiling
data ^nns++++=data
from ^in++++=from
class ^nn++++=class
activities ^nns+nom+++=activities
in ^in++++=in
English ^nn++++=English
for ^in++++=for
Academic ^jj+atrb+++=Academic
Purposes ^nns++++=Purposes
courses ^nns++++=courses.
. ^zz++++=EXTRAWORD
Through ^in++++=Through
the ^ati++++=the
systematic ^jj+atrb+++=systematic
collection ^nn+nom+++=collection
of ^in++++=of
learner ^nn++++=learner
metadata ^nn+++??+=metadata
and ^cc++++=and
careful ^jj+atrb+++=careful
attention ^nn+nom+++=attention
to ^in++++=to
task ^nn++++=task
and ^cc++++=and
language ^nn+nom+++=language
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
as ^in++++=as
outlined ^nn++++=outlined
in ^in++++=in
the ^ati++++=the
next ^ap++++=next
section ^nn+nom+++=section,
, ^zz++++=EXTRAWORD
Corifa ^np+++??+=CorIFA
facilitates ^nns+nom+++=facilitates
comprehensive ^jj+atrb+++=comprehensive
investigations ^nns+nom+++=investigations
of ^in++++=of
learner ^nn++++=learner
writing ^nn++++=writing
in ^in++++=in
classroom ^nn++++=classroom
contexts ^nns++++=contexts.
. ^zz++++=EXTRAWORD
