Identification ^nn+nom+++=Identification.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
species ^nn++++=species
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
distinguished ^vpsv++by+xvbnx+=distinguished
by ^in++++=by
its ^pp$+it+++=its
arched ^xvbn+++xvbn+=arched
basidiomata ^jj+++??+=basidiomata,
, ^zz++++=EXTRAWORD
dark ^jj++++=dark
brown ^jj++++=brown
and ^cc++++=and
asperulate ^nn+nom+++=asperulate
endoperidium ^nn+++??+=endoperidium,
, ^zz++++=EXTRAWORD
a ^at++++=a
mycelial ^jj+atrb+++=mycelial
layer ^nn++++=layer
covered ^vbd+++xvbn+=covered
with ^in++++=with
abundant ^jj+atrb+++=abundant
debris ^nn++++=debris,
, ^zz++++=EXTRAWORD
a ^at++++=a
fibrillose ^nn+++??+=fibrillose
peristome ^nn+++??+=peristome,
, ^zz++++=EXTRAWORD
a ^at++++=a
relatively ^rb++++=relatively
large ^jj+atrb+++=large
pedicel ^nn+++??+=pedicel
reaching ^vwbg+++xvbg+=reaching
up ^rp++++=up
to ^to++++=to
4 ^zz++++=4
mm ^nnu++++=mm
in ^in++++=in
height ^nn++++=height,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
basidiospores ^nns+++??+=basidiospores
bearing ^vwbg+++xvbg+=bearing
prominent ^jj+atrb+++=prominent
truncate ^nn+nom+++=truncate
warts ^nns++++=warts
( ^zz++++=(Sunhede
sunhede ^nn+++??+=EXTRAWORD
1989 ^cd+date+++=1989;
; ^zz++++=EXTRAWORD
Soto ^np++++=Soto
 ^zz++++=&
Wright ^np++++=Wright
000 ^cd++++=2000;
 ^zz++++=EXTRAWORD
Alves ^np++++=Alves
 ^zz++++=&
Cortez ^np++++=Cortez
016 ^cd++++=2016).
	 ^zz++++=EXTRAWORD
 ^zz++++=EXTRAWORD
