Estimates ^nns+nom+++=Estimates
were ^vbd+bed+aux++=were
obtained ^vpsv++agls+xvbnx+=obtained
using ^vbg+++xvbg+=using
Maximum ^nn++++=Maximum
Likelihood ^nn+nom+++=Likelihood
Estimators ^np+++??+=Estimators
( ^zz++++=(MLE),
mle ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
consistent ^jj+atrb+++=consistent
estimators ^nns++++=estimators,
, ^zz++++=EXTRAWORD
by ^in++++=by
optimizing ^xvbg+++xvbg+=optimizing
the ^ati++++=the
first ^od++++=first-order
- ^zz++++=EXTRAWORD
order ^to++++=EXTRAWORD
conditions ^nns+nom+++=conditions
specified ^jj++++=specified
as ^in++++=as
< ^zz++++=<>.
> ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
