Consistent ^jj++++=Consistent
with ^in++++=with
the ^ati++++=the
findings ^nns++++=findings
of ^in++++=of
Kim ^np++++=Kim,
, ^zz++++=EXTRAWORD
Phipps ^np+++??+=Phipps,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Anselin ^np+++??+=Anselin
( ^zz++++=(2003),
2003 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Campos ^np+++??+=Campos
( ^zz++++=(2017),
2017 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Campos ^np+++??+=Campos
and ^cc++++=and
Almeida ^np+++??+=Almeida
( ^zz++++=(2018),
2018 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
extrinsic ^nn++++=extrinsic
and ^cc++++=and
intrinsic ^jj+atrb+++=intrinsic
housing ^nn++++=housing
characteristics ^nns++++=characteristics
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
uniform ^jj++++=uniform
within ^in++++=within
a ^at++++=a
weighting ^jj+atrb++xvbg+=weighting
area ^nn++++=area,
, ^zz++++=EXTRAWORD
contrary ^in+cmpx+++=contrary
to ^in"++++=to
the ^ati++++=the
assumption ^nn+nom+++=assumption
made ^vwbn+++xvbn+=made
by ^in++++=by
Megbolugbe ^np+++??+=Megbolugbe
and ^cc++++=and
Hoek ^np+++??+=Hoek-Smit
- ^zz++++=EXTRAWORD
smit ^nn+++??+=EXTRAWORD
( ^zz++++=(1996).
1996 ^cd+date+++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
To ^in++++=To
address ^nns+nom+++=address
this ^dt+dem+++=this
limitation ^nn+nom+++=limitation,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
study ^nn++++=study
incorporates ^nns+nom+++=incorporates
the ^ati++++=the
spatial ^jj+atrb+++=spatial
location ^nn+nom+++=location
of ^in++++=of
each ^ppls++++=each
house ^npl++++=house
and ^cc++++=and
amenity ^nn+nom+++=amenity
( ^zz++++=(such
such ^abl++++=EXTRAWORD
as ^ql++++=as
schools ^nns++++=schools,
, ^zz++++=EXTRAWORD
shops ^nns++++=shops,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
libraries ^nns++++=libraries)
) ^zz++++=EXTRAWORD
rather ^rb++++=rather
than ^in++++=than
relying ^xvbg+++xvbg+=relying
solely ^rb++++=solely
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
or ^cc++++=or
presence ^nn+nom+++=presence
of ^in++++=of
amenities ^nns+nom+++=amenities
within ^in++++=within
the ^ati++++=the
weighting ^jj+atrb++xvbg+=weighting
area ^nn++++=area.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
methodology ^nn++++=methodology
enables ^vbz++++=enables
the ^ati++++=the
delineation ^nn+nom+++=delineation
of ^in++++=of
distinct ^jj+atrb+++=distinct
neighborhoods ^nns+nom+++=neighborhoods
within ^in++++=within
a ^at++++=a
weighting ^jj+atrb++xvbg+=weighting
area ^nn++++=area
based ^vwbn+++xvbn+=based
on ^in++++=on
the ^ati++++=the
size ^nn++++=size
determined ^vwbn+++xvbn+=determined
by ^in++++=by
the ^ati++++=the
selected ^jj+atrb++xvbn+=selected
distance ^nn+nom+++=distance
matrix ^nn++++=matrix
W ^zz++++=W
cut ^vbd+++xvbn+=cut-off.
- ^zz++++=EXTRAWORD
off ^in+strn+++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
this ^dt+dem+++=this
approach ^nn++++=approach
reduces ^vbz++++=reduces
the ^ati++++=the
influence ^nn+nom+++=influence
of ^in++++=of
administratively ^rb++++=administratively
defined ^jj+atrb++xvbn+=defined
neighborhood ^nn+nom+++=neighborhood
boundaries ^nns++++=boundaries,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
districts ^nns++++=districts
or ^cc++++=or
census ^nn++++=census
tracts ^nns++++=tracts,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
minimizing ^vbg+++xvbg+=minimizing
the ^ati++++=the
potential ^jj+atrb+++=potential
bias ^nn++++=bias
introduced ^xvbn+++xvbn+=introduced
by ^in++++=by
government ^nn+nom+++=government-imposed
- ^zz++++=EXTRAWORD
imposed ^vpsv++agls+xvbn+=EXTRAWORD
area ^nn++++=area
compositions ^nns+nom+++=compositions.
. ^zz++++=EXTRAWORD
