Confirmatory ^np+++??+=Confirmatory
factor ^nn++++=factor
analysis ^nn++++=analysis
using ^vwbg+++xvbg+=using
structural ^jj+atrb+++=structural
equation ^nn+nom+++=equation
modeling ^nn+nom+++=modeling
indicated ^vbd+vprv++xvbn+=indicated
an ^at++++=an
excellent ^jj+atrb+++=excellent
model ^nn++++=model
fit ^nn++++=fit,
, ^zz++++=EXTRAWORD
with ^in++++=with
2 ^zz++++=2
= ^zz++++==
2.42 ^cd++++=2.42,
, ^zz++++=EXTRAWORD
Goodness ^nns+nom+++=Goodness
of ^in++++=of
Fit ^jj+atrb+++=Fit
Index ^nn++++=Index
( ^zz++++=(GFI)
gfi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.92 ^nn+++??+=0.92
( ^zz++++=(acceptable
acceptable ^jj+atrb+++=EXTRAWORD
0.85 ^nn+++??+=0.85),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Adjusted ^xvbn+++xvbn+=Adjusted
Goodness ^nns+nom+++=Goodness
of ^in++++=of
Fit ^jj+atrb+++=Fit
Index ^nn++++=Index
( ^zz++++=(AGFI)
agfi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.89 ^nn+++??+=0.89
( ^zz++++=(acceptable
acceptable ^jj+atrb+++=EXTRAWORD
0.80 ^nn+++??+=0.80),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Bentler ^np+++??+=Bentler
& ^zz++++=&
Bonett ^np++++=Bonett's
's ^$++++=EXTRAWORD
Non ^&fw++++=Non-Normed
- ^zz++++=EXTRAWORD
normed ^jj+atrb++xvbn+=EXTRAWORD
Fit ^nn++++=Fit
Index ^nn++++=Index
( ^zz++++=(NNFI)
nnfi ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
= ^zz++++==
0.92 ^nn+++??+=0.92
( ^zz++++=(acceptable
acceptable ^jj+atrb+++=EXTRAWORD
values ^nns++++=values
close ^jj++++=close
to ^to++++=to
1 ^zz++++=1),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Tucker ^np++++=Tucker-Lewis
