Similar ^jj++++=Similar
to ^in++++=to
the ^ati++++=the
situation ^nn++++=situation
in ^in++++=in
Ireland ^np++++=Ireland,
, ^zz++++=EXTRAWORD
Humanist ^nn++++=Humanist
Uk ^np++++=UK
( ^zz++++=(formerly
formerly ^rb+tm+++=EXTRAWORD
the ^ati++++=the
British ^jj+atrb+++=British
Humanist ^nn++++=Humanist
Association ^nn++++=Association)
) ^zz++++=EXTRAWORD
advocates ^nns++++=advocates
for ^in++++=for
Religious ^jj+atrb+++=Religious
Education ^nn++++=Education
( ^zz++++=(RE)
re ^in++++=EXTRAWORD
) ^zz++++=EXTRAWORD
to ^to++++=to
be ^vbi++vrb++=be
an ^at++++=an
inclusive ^jj++++=inclusive,
, ^zz++++=EXTRAWORD
impartial ^jj++++=impartial,
, ^zz++++=EXTRAWORD
objective ^jj++++=objective,
, ^zz++++=EXTRAWORD
fair ^jj++++=fair,
, ^zz++++=EXTRAWORD
balanced ^jj+atrb++xvbn+=balanced
and ^cc+phrs+++=and
relevant ^jj+atrb+++=relevant
subject ^nn++++=subject
allowing ^vwbg+++xvbg+=allowing
pupils ^nns++++=pupils
to ^to++++=to
explore ^vbi++++=explore
a ^at++++=a
variety ^nn++++=variety
of ^in++++=of
religions ^nns++++=religions
and ^cc++++=and
non ^&fw++++=non-religious
- ^zz++++=EXTRAWORD
religious ^jj+atrb+++=EXTRAWORD
worldviews ^nns+++??+=worldviews
( ^zz++++=(Humanist
humanist ^nn++++=EXTRAWORD
Uk ^np++++=UK,
, ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Although ^cs+con+++=Although
the ^ati++++=the
organisation ^nn++++=organisation
welcomed ^vbd+++xvbn+=welcomed
the ^ati++++=the
Qualifications ^nns++++=Qualifications
and ^cc++++=and
Curriculum ^nn++++=Curriculum
Authority ^nn++++=Authority
s ^zz++++=s
publication ^nn++++=publication
of ^in++++=of
a ^at++++=a
non ^&fw++++=non-statutory
- ^zz++++=EXTRAWORD
statutory ^jj+atrb+++=EXTRAWORD
National ^jj+atrb+++=National
Framework ^nn++++=Framework
for ^in++++=for
Religious ^jj+atrb+++=Religious
Education ^nn++++=Education
( ^zz++++=(NFRE)
nfre ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
2014 ^cd++++=2014,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
leadership ^nn++++=leadership
has ^vbz+hvz+aux++=has
expressed ^vprf+++xvbnx+=expressed
concerns ^nns++++=concerns
regarding ^in++++=regarding
the ^ati++++=the
representation ^nn++++=representation
of ^in++++=of
Humanism ^nn++++=Humanism
within ^in++++=within
Re ^in++++=RE
syllabuses ^nns++++=syllabuses
as ^in++++=as
outlined ^nn++++=outlined
in ^in++++=in
the ^ati++++=the
framework ^nn++++=framework.
. ^zz++++=EXTRAWORD
Specifically ^rb+cnj+++=Specifically,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
Nfre ^np+++??+=NFRE
recommends ^vbz+vsua+++=recommends
the ^ati++++=the
study ^nn++++=study
of ^in++++=of
Christianity ^nn++++=Christianity
across ^in+pl+++=across
all ^abn++++=all
key ^jjb+atrb+++=key
stages ^nns++++=stages,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
applies ^vbz++++=applies
a ^at++++=a
demographic ^jj+atrb+++=demographic
rationale ^nn++++=rationale
to ^in++++=to
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
other ^ap++++=other
religious ^jj++++=religious
and ^cc+phrs+++=and
secular ^jj+atrb+++=secular
ethical ^jj+atrb+++=ethical
systems ^nns++++=systems.
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
the ^ati++++=the
Nfre ^np+++??+=NFRE,
, ^zz++++=EXTRAWORD
Humanism ^nn++++=Humanism
should ^md+nec+++=should
be ^vb+be+aux++=be
included ^vpsv++agls+xvbnx+=included
in ^in++++=in
the ^ati++++=the
Re ^in++++=RE
syllabus ^nn++++=syllabus
only ^rb+down+++=only
where ^wrb+who+++=where
appropriate ^jj++++=appropriate,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
decision ^nn++++=decision
left ^vbd+++xvbn+=left
to ^in++++=to
the ^ati++++=the
discretion ^nn++++=discretion
of ^in++++=of
each ^dt++++=each
Local ^jj+atrb+++=Local
Education ^nn++++=Education
Authority ^nn++++=Authority
( ^zz++++=(LEA).
lea ^np++++=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
response ^nn++++=response
to ^to++++=to
what ^wdt+who+++=what
