For ^in++++=For
these ^dt+dem+++=these
reasons ^nns++++=reasons,
, ^zz++++=EXTRAWORD
an ^at++++=an
ethical ^jj++++=ethical-dialogical
- ^zz++++=EXTRAWORD
dialogical ^nn+++??+=EXTRAWORD
approach ^nn++++=approach
that ^tht+rel+subj++=that
considers ^vbz+vprv+++=considers
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
religion ^nn++++=religion
is ^vbz+bez+aux++=is
experienced ^vpsv++by+xvbnx+=experienced
by ^in++++=by
members ^nns++++=members
of ^in++++=of
the ^ati++++=the
major ^jj+atrb+++=major
religious ^jj+atrb+++=religious
traditions ^nns++++=traditions,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^cs+sub+++=as
by ^in++++=by
adherents ^nns++++=adherents
of ^in++++=of
minority ^nn++++=minority
faiths ^nns++++=faiths
in ^in++++=in
specific ^jj+atrb+++=specific
local ^jj+atrb+++=local
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
preferable ^vb+pred+++=preferable
to ^to+vcmp+++=to
a ^at++++=a
neutralist ^jj+atrb+++=neutralist
model ^nn++++=model
that ^tht+rel+obj++=that
prioritizes ^nns+++??+=prioritizes
breadth ^nn++++=breadth
over ^in++++=over
depth ^nn++++=depth.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
allows ^vbz++++=allows
the ^ati++++=the
syllabus ^nn++++=syllabus
to ^in++++=to
address ^nn++++=address
not ^xnot++not++=not
only ^rb+down+++=only
general ^jj+atrb+++=general
ethical ^jj+atrb+++=ethical
questions ^nns++++=questions
but ^cc++++=but
also ^rb++++=also
issues ^nns++++=issues
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
particularly ^rb++++=particularly
relevant ^jj+pred+++=relevant
to ^in++++=to
the ^ati++++=the
local ^jj+atrb+++=local
community ^nn++++=community.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
framework ^nn++++=framework,
, ^zz++++=EXTRAWORD
students ^nns++++=students
can ^md+pos+++=can
work ^vb++++=work
toward ^in++++=toward
mutual ^jj+atrb+++=mutual
understanding ^nvbg+++xvbg+=understanding,
, ^zz++++=EXTRAWORD
supported ^xvbn+++xvbn+=supported
by ^in++++=by
the ^ati++++=the
syllabus ^nn++++=syllabus
and ^cc++++=and
guided ^vpsv++by+xvbn+=guided
by ^in++++=by
the ^ati++++=the
teacher ^nn++++=teacher,
, ^zz++++=EXTRAWORD
by ^in++++=by
engaging ^nn++++=engaging
in ^in++++=in
discussions ^nns++++=discussions
about ^in++++=about
the ^ati++++=the
significance ^nn++++=significance
of ^in++++=of
their ^pp$+pp3+++=their
religious ^jj+atrb+++=religious
beliefs ^nns++++=beliefs
and ^cc++++=and
the ^ati++++=the
ways ^nns++++=ways
in ^in++++=in
which ^whp+rel+pied++=which
these ^dt+dem+++=these
beliefs ^nns++++=beliefs
may ^md+pos+++=may
influence ^vb++++=influence
their ^pp$+pp3+++=their
actions ^nns++++=actions.
. ^zz++++=EXTRAWORD
Given ^vpbn+v++xvbn+=Given
the ^ati++++=the
experiential ^jj+atrb+++=experiential
nature ^nn++++=nature
of ^in++++=of
learning ^xvbg+++xvbg+=learning,
, ^zz++++=EXTRAWORD
the ^ati++++=the
inclusion ^nn++++=inclusion
of ^in++++=of
intercultural ^nn+++??+=intercultural
activities ^nns++++=activities,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
educational ^jj+atrb+++=educational
visits ^nns++++=visits
to ^in++++=to
museums ^nns++++=museums
and ^cc++++=and
places ^nns++++=places
of ^in++++=of
worship ^nn++++=worship,
, ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
also ^rb++splt++=also
recommended ^vpsv++agls+xvbn+=recommended
within ^in++++=within
this ^dt+dem+++=this
model ^nn++++=model.
. ^zz++++=EXTRAWORD
