U ^zz++++=U-Multirank
- ^zz++++=EXTRAWORD
multirank ^nn+++??+=EXTRAWORD
( ^zz++++=(https://www.umultirank.org/;
https ^nns+++??+=EXTRAWORD
: ^zz++++=EXTRAWORD
Prado ^np+++??+=PRADO
2021a ^cd++++=2021a,
, ^zz++++=EXTRAWORD
2021b ^cd++++=2021b)
) ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
developed ^vpsv++agls+xvbnx+=developed
to ^to++++=to
assess ^vbi++++=assess
the ^ati++++=the
performance ^nn++++=performance
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn++++=education
institutions ^nns++++=institutions
across ^in+pl+++=across
five ^cd++++=five
dimensions ^nns++++=dimensions:
: ^zz++++=EXTRAWORD
( ^zz++++=(1)
1 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Teaching ^vbg+vsua++xvbg+=Teaching
and ^cc+phrs+++=and
Learning ^vbg+++xvbg+=Learning,
, ^zz++++=EXTRAWORD
( ^zz++++=(2)
2 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Research ^nn++++=Research,
, ^zz++++=EXTRAWORD
( ^zz++++=(3)
3 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Knowledge ^nn++++=Knowledge
Transfer ^nn++++=Transfer,
, ^zz++++=EXTRAWORD
( ^zz++++=(4)
4 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
International ^jj+atrb+++=International
Orientation ^nn++++=Orientation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
( ^zz++++=(5)
5 ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
Regional ^jj+atrb+++=Regional
Engagement ^nn++++=Engagement.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
dimension ^nn++++=dimension
comprises ^vbz++++=comprises
between ^in++++=between
four ^cd++++=four
and ^cc++++=and
eleven ^cd++++=eleven
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
depending ^vbg+++xvbg+=depending
on ^in++++=on
the ^ati++++=the
specific ^jj+atrb+++=specific
area ^nn++++=area
being ^xvbg+++xvbg+=being
evaluated ^vpsv++agls+xvbn+=evaluated.
. ^zz++++=EXTRAWORD
The ^ati++++=The
platform ^nn++++=platform
is ^vbz+bez+aux++=is
designed ^vpsv++agls+xvbnx+=designed
primarily ^rb+down+++=primarily
for ^in++++=for
prospective ^jj+atrb+++=prospective
students ^nns++++=students
seeking ^vwbg+++xvbg+=seeking
an ^at++++=an
international ^jj+atrb+++=international
comparison ^nn++++=comparison
of ^in++++=of
higher ^jjr+atrb+++=higher
education ^nn++++=education
institutions ^nns++++=institutions
to ^to++++=to
identify ^vbi++++=identify
those ^dt+dem+++=those
that ^cs+sub+++=that
best ^jjt+atrb+++=best
align ^nn+++??+=align
with ^in++++=with
their ^pp$+pp3+++=their
preferences ^nns++++=preferences.
. ^zz++++=EXTRAWORD
Users ^nns++++=Users
can ^md+pos+++=can
examine ^vb++++=examine
each ^dt++++=each
indicator ^nn++++=indicator
individually ^rb++++=individually
or ^cc++++=or
in ^in++++=in
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
allowing ^jj+++xvbg+=allowing
them ^pp3o+pp3+++=them
to ^in++++=to
focus ^nn++++=focus
on ^in++++=on
the ^ati++++=the
criteria ^nns++++=criteria
most ^ql+emph+++=most
relevant ^jj++++=relevant
to ^in++++=to
their ^pp$+pp3+++=their
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
process ^nn++++=process.
. ^zz++++=EXTRAWORD
