Analysis ^nn++++=Analysis
of ^in++++=of
the ^ati++++=the
theme ^nn++++=theme-rheme
- ^zz++++=EXTRAWORD
rheme ^nn+++??+=EXTRAWORD
structure ^nn++++=structure
indicates ^vbz+vpub+++=indicates
that ^tht+vcmp+++=that
themes ^nns++++=themes
are ^vb+ber+vrb++=are
unmarked ^jj+pred+++=unmarked
in ^in++++=in
the ^ati++++=the
majority ^nn++++=majority
of ^in++++=of
cases ^nns++++=cases
( ^zz++++=(75%),
75% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^ql++++=as
they ^pp3a+pp3+++=they
typically ^rb++++=typically
correspond ^vb++++=correspond
to ^in++++=to
the ^ati++++=the
subject ^nn++++=subject
in ^in++++=in
declarative ^nn+++??+=declarative
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
my ^pp$+pp1+++=my
name ^nn++++=name
, ^zz++++=,
the ^ati++++=the
demonstrative ^jj++++=demonstrative
this ^dt+pdem+++=this
, ^zz++++=,
I ^pp1a+pp1+++=I
, ^zz++++=,
we ^pp1a+pp1+++=we
, ^zz++++=,
and ^cc+cls+++=and
they ^pp3a+pp3+++=they
. ^zz++++=.
In ^in++++=In
the ^ati++++=the
four ^cd++++=four
imperative ^jj+atrb+++=imperative
clauses ^nns++++=clauses,
, ^zz++++=EXTRAWORD
the ^ati++++=the
theme ^nn++++=theme
is ^vbz+bez+aux++=is
realized ^vpsv++by+xvbnx+=realized
by ^in++++=by
the ^ati++++=the
predicator ^nn+++??+=predicator
or ^cc++++=or
by ^in++++=by
the ^ati++++=the
construction ^nn++++=construction
let ^vbd+++xvbn+=let
+ ^zz++++=+
subject ^nn++++=subject,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
in ^in++++=in
be ^vb+be+vrb++=be
careful ^jj+pred+++=careful
, ^zz++++=,
come ^vprf+++xvbn+=come
, ^zz++++=,
find ^vb+vprv+++=find
out ^rp+pl+++=out
, ^zz++++=,
and ^cc+cls+++=and
let ^vb+++xvbn+=let
s ^zz++++=s
not ^xnot++not++=not
forget ^vb+vprv+++=forget
. ^zz++++=.
As ^cs+sub+++=As
shown ^vwbn+vprv++xvbn+=shown
in ^in++++=in
Table ^nn++++=Table
1 ^zz++++=1,
, ^zz++++=EXTRAWORD
simple ^jj+atrb+++=simple
themes ^nns++++=themes
occur ^vb++++=occur
more ^rbr++++=more
frequently ^rb++++=frequently
than ^in++++=than
multiple ^jj+atrb+++=multiple
themes ^nns++++=themes.
. ^zz++++=EXTRAWORD
