Plan ^vb++++=Plan
the ^ati++++=the
search ^nn++++=search
for ^in++++=for
scientific ^jj+atrb+++=scientific
information ^nn++++=information
by ^in++++=by
systematically ^rb++++=systematically
identifying ^jj+atrb++xvbg+=identifying
relevant ^jj+atrb+++=relevant
sources ^nns++++=sources
and ^cc++++=and
collecting ^nvbg+++xvbg+=collecting
content ^nn++++=content
that ^tht+rel+subj++=that
directly ^rb++++=directly
supports ^vbz++++=supports
the ^ati++++=the
research ^nn++++=research
objectives ^nns++++=objectives.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
process ^nn++++=process
should ^md+nec+++=should
involve ^vb++++=involve
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
appropriate ^jj+atrb+++=appropriate
databases ^nns+++??+=databases,
, ^zz++++=EXTRAWORD
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
well ^rb++++=well-defined
- ^zz++++=EXTRAWORD
defined ^jj+atrb++xvbn+=EXTRAWORD
inclusion ^nn++++=inclusion
and ^cc++++=and
exclusion ^nn++++=exclusion
criteria ^nns++++=criteria,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
critical ^jj+atrb+++=critical
evaluation ^nn++++=evaluation
of ^in++++=of
the ^ati++++=the
quality ^nn++++=quality
and ^cc++++=and
relevance ^nn++++=relevance
of ^in++++=of
the ^ati++++=the
selected ^jj+atrb++xvbn+=selected
materials ^nns++++=materials
to ^to++++=to
ensure ^vbi+vprv+++=ensure
that ^tht+vcmp+++=that
the ^ati++++=the
information ^nn++++=information
gathered ^vbd+++xvbn+=gathered
is ^vbz+bez+vrb++=is
both ^abx++++=both
meaningful ^jj++++=meaningful
and ^cc+phrs+++=and
conducive ^jj++++=conducive
to ^to++++=to
advancing ^vbg+++xvbg+=advancing
the ^ati++++=the
research ^nn++++=research
process ^nn++++=process.
. ^zz++++=EXTRAWORD
