Bibliometrics ^np+++??+=Bibliometrics
encompasses ^vbz++++=encompasses
the ^ati++++=the
monitoring ^jj+++xvbg+=monitoring
of ^in++++=of
knowledge ^nn++++=knowledge
domains ^nns++++=domains
by ^in++++=by
mapping ^nn++++=mapping
new ^jj+atrb+++=new
discoveries ^nns++++=discoveries,
, ^zz++++=EXTRAWORD
research ^nn++++=research
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
existing ^jj+atrb++xvbg+=existing
knowledge ^nn++++=knowledge
gaps ^nns++++=gaps.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazil ^np++++=Brazil,
, ^zz++++=EXTRAWORD
metric ^nn+++??+=metric
studies ^nns++++=studies
related ^vbd+++xvbn+=related
to ^in++++=to
information ^nn++++=information,
, ^zz++++=EXTRAWORD
including ^in++++=including
bibliometrics ^nns+++??+=bibliometrics,
, ^zz++++=EXTRAWORD
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
conducted ^vpsv++agls+xvbnx+=conducted
since ^in++++=since
the ^ati++++=the
1970s ^cd+date+++=1970s
( ^zz++++=(Machado,
machado ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Initially ^rb+cnj+++=Initially,
, ^zz++++=EXTRAWORD
these ^dt+dem+++=these
studies ^nns++++=studies
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
facilitate ^vbi++++=facilitate
the ^ati++++=the
cataloguing ^nn++++=cataloguing
of ^in++++=of
documents ^nns++++=documents
and ^cc++++=and
information ^nn++++=information
in ^in++++=in
order ^vb++++=order
to ^to+vcmp+++=to
provide ^vbi+vsua+++=provide
an ^at++++=an
overview ^nn+++??+=overview
of ^in++++=of
the ^ati++++=the
country ^nn++++=country's
's ^vbz+bez+vrb++0=EXTRAWORD
scientific ^jj+atrb+++=scientific
output ^nn++++=output.
. ^zz++++=EXTRAWORD
Over ^in++++=Over
time ^nn++++=time,
, ^zz++++=EXTRAWORD
the ^ati++++=the
term ^nn++++=term
" ^zz++++="bibliometrics"
bibliometrics ^nns+++??+=EXTRAWORD
" ^zz++++=EXTRAWORD
gained ^vprf+++xvbn+=gained
wider ^jjr+atrb+++=wider
recognition ^nn++++=recognition,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
bibliometric ^nn+++??+=bibliometric
method ^nn++++=method
became ^vbd+++xvbn+=became
established ^vbd+vprv++xvbn+=established
as ^ql++++=as
an ^at++++=an
indicator ^nn++++=indicator
of ^in++++=of
the ^ati++++=the
development ^nn++++=development
of ^in++++=of
academic ^jj+atrb+++=academic
and ^cc+phrs+++=and
technological ^jj+atrb+++=technological
research ^nn++++=research
in ^in++++=in
brazil ^np++++=Brazil
( ^zz++++=(Machado,
machado ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
