To ^to++++=To
ensure ^vbi+vprv+++=ensure
comprehensive ^jj+atrb+++=comprehensive
identification ^nn++++=identification
of ^in++++=of
relevant ^jj+atrb+++=relevant
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
an ^at++++=an
additional ^jj+atrb+++=additional
search ^nn++++=search
was ^vbd+bedz+aux++=was
conducted ^vpsv++agls+xvbnx+=conducted
on ^in++++=on
the ^ati++++=the
Bdtd ^np+++??+=BDTD
website ^nn+++??+=website
using ^vwbg+++xvbg+=using
the ^ati++++=the
keywords ^nns+++??+=keywords
" ^zz++++="tradu
tradu ^nn+++??+=EXTRAWORD
o ^zz++++=o
artigos ^nns+++??+=artigos
cient ^nn+++??+=cient
ficos ^nns+++??+=ficos"
" ^zz++++=EXTRAWORD
( ^zz++++=(translation
translation ^nn++++=EXTRAWORD
scientific ^jj+atrb+++=scientific
articles ^nns++++=articles).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
search ^nn++++=search
yielded ^vbd+++xvbn+=yielded
427 ^cd++++=427
studies ^nns++++=studies,
, ^zz++++=EXTRAWORD
of ^in++++=of
which ^whp+rel+pied++=which
only ^rb+down+++=only
three ^cd++++=three
theses ^nns++++=theses
met ^vbd+++xvbn+=met
the ^ati++++=the
established ^jj+atrb++xvbn+=established
selection ^nn++++=selection
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
The ^ati++++=The
results ^nns++++=results
of ^in++++=of
this ^dt+dem+++=this
search ^nn++++=search
are ^vb+ber+aux++=are
presented ^vbd+++xvbn+=presented
in ^in++++=in
figure ^nn++++=Figure
6 ^zz++++=6.
. ^zz++++=EXTRAWORD
