Each ^dt++++=Each
Ha ^uh++++=Ha
is ^vbz+bez+aux++=is
assigned ^vpsv++agls+xvbnx+=assigned
a ^at++++=a
state ^nn++++=state
attribute ^vb++++=attribute
corresponding ^jj+++xvbg+=corresponding
to ^to++++=to
one ^pn++++=one
of ^in++++=of
seven ^cd++++=seven
epidemiological ^nn+++??+=epidemiological
compartments ^nns++++=compartments
into ^in++++=into
which ^whp+rel+pied++=which
the ^ati++++=the
metapopulation ^nn+++??+=metapopulation
is ^vbz+bez+aux++=is
divided ^vpsv++agls+xvbnx+=divided:
: ^zz++++=EXTRAWORD
S ^zz++++=S
( ^zz++++=(susceptible),
susceptible ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
E ^zz++++=E
( ^zz++++=(latent
latent ^jj++++=EXTRAWORD
or ^cc+phrs+++=or
exposed ^jj+++xvbn+=exposed),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
I ^pp1a+pp1+++=I
( ^zz++++=(symptomatic
symptomatic ^jj+atrb+++=EXTRAWORD
infectious ^nns+++??+=infectious),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
A ^at++++=A
( ^zz++++=(asymptomatic
asymptomatic ^nn+++??+=EXTRAWORD
infectious ^nns+++??+=infectious),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
R ^zz++++=R
( ^zz++++=(recovered),
recovered ^vbd+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
D ^zz++++=D
( ^zz++++=(dead),
dead ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
H ^zz++++=H
( ^zz++++=(hospitalized).
hospitalized ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Figure ^nn++++=Figure
2 ^zz++++=2
presents ^vbz++++=presents
a ^at++++=a
diagram ^nn++++=diagram
illustrating ^vwbg+++xvbg+=illustrating
the ^ati++++=the
components ^nns++++=components,
, ^zz++++=EXTRAWORD
relationships ^nns++++=relationships,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
parameters ^nns++++=parameters
of ^in++++=of
this ^dt+dem+++=this
submodel ^nn++++=submodel.
. ^zz++++=EXTRAWORD
