According ^in++++=According
to ^in++++=to
recent ^jj+atrb+++=recent
epidemiological ^nn+++??+=epidemiological
reports ^nns++++=reports,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
exhibits ^nns++++=exhibits
characteristics ^nns++++=characteristics
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
uncommon ^jj+pred+++=uncommon
among ^in++++=among
other ^ap++++=other
infectious ^nns+++??+=infectious
diseases ^nns++++=diseases
[ ^zz++++=[6].
6 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Notable ^jj+atrb+++=Notable
features ^nns++++=features
of ^in++++=of
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
include ^vb++++=include
a ^at++++=a
high ^jj+atrb+++=high
basic ^jj+atrb+++=basic
reproduction ^nn++++=reproduction
number ^nn++++=number
( ^zz++++=(R0)
r0 ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
up ^rp++++=up
to ^to++++=to
2.79 ^cd++++=2.79
[ ^zz++++=[7],
7 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
an ^at++++=an
asymptomatic ^nn+++??+=asymptomatic
infectious ^nns+++??+=infectious
period ^nn++++=period
lasting ^vwbg+++xvbg+=lasting
up ^rp++++=up
to ^to++++=to
14 ^cd++++=14
days ^nns++++=days
during ^in++++=during
which ^whp+rel+pied++=which
individuals ^nns++++=individuals
may ^md+pos+++=may
not ^xnot++not++=not
display ^vb++++=display
symptoms ^nns++++=symptoms
and ^cc++++=and
infection ^nn++++=infection
can ^md+pos+++=can
only ^rb+down+++=only
be ^vb+be+aux++=be
identified ^vpsv++agls+xvbnx+=identified
through ^in++++=through
serological ^jj+atrb+++=serological
testing ^nvbg+++xvbg+=testing,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
considerable ^jj+atrb+++=considerable
variability ^nn++++=variability
in ^in++++=in
both ^abx++++=both
the ^ati++++=the
duration ^nn++++=duration
and ^cc++++=and
clinical ^jj+atrb+++=clinical
outcomes ^nns+++??+=outcomes
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
[ ^zz++++=[8].
8 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Evidence ^nn++++=Evidence
indicates ^vbz+vpub+++=indicates
