Crosslinguistically ^np+++??+=Crosslinguistically,
, ^zz++++=EXTRAWORD
notable ^jj+atrb+++=notable
differences ^nns+nom+++=differences
can ^md+pos+++=can
be ^vb+be+aux++=be
observed ^vpsv++agls+xvbnx+=observed
between ^in++++=between
examples ^nns++++=examples
( ^zz++++=(10)a
10)a ^cd++++=EXTRAWORD
and ^cc++++=and
( ^zz++++=(11)a,
11)a ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
can ^md+pos+++=can
be ^vb+be+aux++=be
attributed ^vpsv++agls+xvbnx+=attributed
to ^in++++=to
specific ^jj+atrb+++=specific
lexical ^jj+atrb+++=lexical
properties ^nns++++=properties
of ^in++++=of
Portuguese ^nn+nom+++=Portuguese
that ^tht+rel+subj++=that
differ ^vb++++=differ
from ^in++++=from
those ^dt+dem+++=those
of ^in++++=of
English ^nn++++=English.
. ^zz++++=EXTRAWORD
In ^in++++=In
Brazilian ^jj+atrb+++=Brazilian
Portuguese ^nn+nom+++=Portuguese,
, ^zz++++=EXTRAWORD
the ^ati++++=the
construction ^nn+nom+++=construction
corresponding ^vwbg+++xvbg+=corresponding
to ^to++++=to
( ^zz++++=(10)a
10)a ^cd++++=EXTRAWORD
does ^vbz+doz+aux++=does
not ^xnot++not++=not
involve ^vb++++=involve
an ^at++++=an
appositive ^jj+atrb+++=appositive
clause ^nn++++=clause;
; ^zz++++=EXTRAWORD
instead ^rb+cnj+++=instead,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
features ^nns++++=features
a ^at++++=a
complement ^nn+nom+++=complement
clause ^nn++++=clause
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
selected ^jj+pred+++=selected
by ^in++++=by
a ^at++++=a
preposition ^nn+nom+++=preposition.
. ^zz++++=EXTRAWORD
