Epiphytic ^np+++??+=Epiphytic
plants ^nns++++=plants
with ^in++++=with
infundibuliform ^nn+++??+=infundibuliform
leaf ^nn++++=leaf
rosettes ^nns+nom+++=rosettes.
. ^zz++++=EXTRAWORD
Leaf ^nn++++=Leaf
sheaths ^nns+++??+=sheaths
are ^vb+ber+vrb++=are
broadly ^rb+down+++=broadly
elliptic ^jj+pred+++=elliptic
and ^cc+phrs+++=and
dark ^jj++++=dark
brown ^jj++++=brown;
; ^zz++++=EXTRAWORD
leaf ^nn++++=leaf
blades ^nns++++=blades
are ^vb+ber+vrb++=are
linear ^jj+pred+++=linear-lanceolate
- ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=EXTRAWORD
with ^in++++=with
an ^at++++=an
acute ^jj++++=acute-attenuate,
- ^zz++++=EXTRAWORD
attenuate ^nn+nom+++=EXTRAWORD
, ^zz++++=EXTRAWORD
mucronate ^nn+nom+++=mucronate
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
Peduncle ^np+++??+=Peduncle
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
imbricate ^nn+nom+++=imbricate,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
lower ^nn++++=lower
bracts ^vbz+++??+=bracts
green ^npl++++=green,
, ^zz++++=EXTRAWORD
foliaceous ^jj++++=foliaceous,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
suberect ^nn+++??+=suberect,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
upper ^jjb+atrb+++=upper
bracts ^nns+++??+=bracts
possessing ^xvbg+++xvbg+=possessing
dilated ^vbd+++xvbn+=dilated,
, ^zz++++=EXTRAWORD
orbicular ^nn+++??+=orbicular,
, ^zz++++=EXTRAWORD
reddish ^jj+atrb+++=reddish
sheaths ^nns+++??+=sheaths
and ^cc++++=and
suberect ^nn+++??+=suberect
to ^in++++=to
patent ^jj++++=patent,
, ^zz++++=EXTRAWORD
lanceolate ^nn+nom+++=lanceolate,
, ^zz++++=EXTRAWORD
green ^nn++++=green
blades ^nns++++=blades.
. ^zz++++=EXTRAWORD
The ^ati++++=The
inflorescence ^nn+nom+++=inflorescence
is ^vbz+bez+vrb++=is
a ^at++++=a
compound ^nn++++=compound,
, ^zz++++=EXTRAWORD
heterothetic ^jj+atrb+++=heterothetic
double ^jj+atrb+++=double
raceme ^nn+++??+=raceme
with ^in++++=with
10 ^cd++++=10
21 ^cd++++=21
branches ^nns++++=branches
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
patent ^jj+pred+++=patent,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
ascending ^nn++++=ascending
to ^in++++=to
slightly ^rb+down+++=slightly
sigmoid ^jj+atrb++??+=sigmoid
apical ^jj+atrb+++=apical
portion ^nn+nom+++=portion,
, ^zz++++=EXTRAWORD
each ^dt++++=each
bearing ^jj+++xvbg+=bearing
( ^zz++++=(8
8 ^zz++++=EXTRAWORD
) ^zz++++=)10
10 ^cd++++=EXTRAWORD
20 ^cd++++=20
flowers ^nns+nom+++=flowers.
. ^zz++++=EXTRAWORD
Primary ^jj+atrb+++=Primary
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
red ^jj+pred+++=red,
, ^zz++++=EXTRAWORD
longer ^rbr++++=longer
than ^in++++=than
the ^ati++++=the
peduncles ^nns+++??+=peduncles
of ^in++++=of
the ^ati++++=the
branches ^nns++++=branches
but ^cc++++=but
shorter ^jjr++++=shorter
than ^in++++=than
the ^ati++++=the
branches ^nns++++=branches
themselves ^ppls+pp3+++=themselves.
. ^zz++++=EXTRAWORD
The ^ati++++=The
peduncle ^nn+++??+=peduncle
of ^in++++=of
each ^dt++++=each
branch ^nn++++=branch
bears ^nns++++=bears
1 ^zz++++=1
2 ^zz++++=2
sterile ^jj+atrb+++=sterile
bracts ^nns+++??+=bracts.
. ^zz++++=EXTRAWORD
The ^ati++++=The
rachilla ^nn+++??+=rachilla
is ^vbz+bez+vrb++=is
red ^jj+pred+++=red,
, ^zz++++=EXTRAWORD
slightly ^rb+down+++=slightly
geniculate ^nn+nom+++=geniculate,
, ^zz++++=EXTRAWORD
with ^in++++=with
short ^jj+atrb+++=short
internodes ^nns+++??+=internodes
approximately ^rb+down+++=approximately
1 ^zz++++=1
cm ^nnu++++=cm
in ^in++++=in
length ^nn++++=length.
. ^zz++++=EXTRAWORD
Floral ^jj+atrb+++=Floral
bracts ^nns+++??+=bracts
are ^vb+ber+vrb++=are
red ^jj+pred+++=red
or ^cc+phrs+++=or
red ^jj++++=red
with ^in++++=with
a ^at++++=a
yellow ^jj+atrb+++=yellow
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
orbicular ^nn+++??+=orbicular
to ^in++++=to
broadly ^rb+down+++=broadly
ovate ^vb++++=ovate,
, ^zz++++=EXTRAWORD
with ^in++++=with
an ^at++++=an
obtuse ^jj++++=obtuse,
, ^zz++++=EXTRAWORD
apiculate ^nn+nom+++=apiculate,
, ^zz++++=EXTRAWORD
carinate ^nn+nom+++=carinate
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
Flowers ^nns+nom+++=Flowers
are ^vb+ber+vrb++=are
distichous ^jj+pred+++=distichous
and ^cc++++=and
suberect ^nn+++??+=suberect
at ^rb++++=at
anthesis ^nns+++??+=anthesis;
; ^zz++++=EXTRAWORD
sepals ^nn++++=sepals
are ^vb+ber+vrb++=are
yellow ^jj+pred+++=yellow,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
petals ^nns++++=petals
are ^vb+ber+vrb++=are
yellow ^jj+pred+++=yellow
with ^in++++=with
a ^at++++=a
slightly ^rb+down+++=slightly
orangish ^jj+atrb+++=orangish
apex ^nn++++=apex,
, ^zz++++=EXTRAWORD
rounded ^j+++xvbn+=rounded
at ^rb++++=at
the ^ati++++=the
tip ^nn++++=tip.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
petal ^jj++++=petal
has ^vbz+hvz+vrb++=has
two ^cd++++=two
appendages ^nns+nom+++=appendages
that ^tht+rel+subj++=that
are ^vb+ber+vrb++=are
longitudinally ^rb++++=longitudinally
adnate ^nn++++=adnate,
, ^zz++++=EXTRAWORD
with ^in++++=with
the ^ati++++=the
superior ^jj+atrb+++=superior
free ^jj+atrb+++=free
portion ^nn+nom+++=portion
ovate ^nn++++=ovate
or ^cc++++=or
rhombic ^jj++++=rhombic-ovate,
- ^zz++++=EXTRAWORD
ovate ^nn++++=EXTRAWORD
, ^zz++++=EXTRAWORD
apex ^nn++++=apex
rounded ^vbd+++xvbn+=rounded
or ^cc++++=or
obtuse ^jj++++=obtuse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
margins ^nns++++=margins
entire ^jjb++++=entire.
. ^zz++++=EXTRAWORD
Anthers ^nns+nom++??+=Anthers
are ^vb+ber+aux++=are
included ^vpsv++agls+xvbnx+=included
to ^in++++=to
slightly ^rb+down+++=slightly
exserted ^jj+++xvbn+=exserted,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
ovary ^nn++++=ovary
is ^vbz+bez+vrb++=is
