Under ^in++++=Under
water ^nn++++=water
deficit ^nn++++=deficit
conditions ^nns+nom+++=conditions,
, ^zz++++=EXTRAWORD
plants ^nns++++=plants
experience ^nn+nom+++=experience
cell ^nn++++=cell
dehydration ^nn+nom+++=dehydration,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
leads ^vbz++++=leads
to ^in++++=to
a ^at++++=a
reduction ^nn+nom+++=reduction
in ^in++++=in
pressure ^nn++++=pressure
potential ^jj++++=potential
( ^zz++++=(turgor)
turgor ^nn++++=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
cell ^nn++++=cell
volume ^nn++++=volume.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
state ^nn++++=state
can ^md+pos+++=can
result ^vb++++=result
in ^in++++=in
increased ^jj+atrb++xvbn+=increased
ion ^nn++++=ion
concentrations ^nns+nom+++=concentrations
in ^in++++=in
the ^ati++++=the
cytosol ^nn+++??+=cytosol,
, ^zz++++=EXTRAWORD
reaching ^vbg+++xvbg+=reaching
cytotoxic ^jj+atrb+++=cytotoxic
levels ^nns++++=levels
that ^tht+rel+obj++=that
may ^md+pos+++=may
cause ^vb++++=cause
protein ^nn++++=protein
denaturation ^nn+nom+++=denaturation
and ^cc++++=and
membrane ^nn++++=membrane
destabilization ^nn+nom+++=destabilization,
, ^zz++++=EXTRAWORD
potentially ^rb++++=potentially
leading ^jj+++xvbg+=leading
to ^in++++=to
cell ^nn++++=cell
death ^nn++++=death
( ^zz++++=(Taiz
taiz ^np++++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2017 ^cd++++=2017).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
seeds ^nns++++=seeds,
, ^zz++++=EXTRAWORD
water ^nn++++=water
deficit ^nn++++=deficit
is ^vbz+bez+aux++=is
primarily ^rb+down+splt++=primarily
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
a ^at++++=a
decreased ^jj+atrb++xvbn+=decreased
germination ^nn+nom+++=germination
percentage ^nn+nom+++=percentage,
, ^zz++++=EXTRAWORD
an ^at++++=an
increased ^jj+atrb++xvbn+=increased
mean ^jj+atrb+++=mean
germination ^nn+nom+++=germination
time ^nn++++=time,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reduced ^jj+atrb++xvbn+=reduced
growth ^nn++++=growth
of ^in++++=of
the ^ati++++=the
primary ^jj+atrb+++=primary
root ^nn++++=root
and ^cc++++=and
hypocotyl ^nn+++??+=hypocotyl
( ^zz++++=(Demonti
demonti ^nn+++??+=EXTRAWORD
zo ^nn+++??+=zo
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2016 ^cd++++=2016;
; ^zz++++=EXTRAWORD
freire ^np++++=Freire
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
