Fernandes ^np++++=Fernandes
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
( ^zz++++=(2011)
2011 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
evaluated ^vbd+++xvbn+=evaluated
the ^ati++++=the
effectiveness ^nns+nom+++=effectiveness
of ^in++++=of
chemical ^jj+atrb+++=chemical
agents ^nns++++=agents
for ^in++++=for
the ^ati++++=the
surface ^nn++++=surface
decontamination ^nn+nom+++=decontamination
of ^in++++=of
macroalgae ^nn+++??+=macroalgae,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
Hypnea ^np+++??+=Hypnea
musciformis ^nns+++??+=musciformis
( ^zz++++=(Wulfen)
wulfen ^vb+++xvbn+=EXTRAWORD
) ^zz++++=EXTRAWORD
J.v.lamouroux ^np+++??+=J.V.Lamouroux
as ^in++++=as
a ^at++++=a
model ^nn++++=model
organism ^nn+nom+++=organism,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
reported ^vbn+vpub++xvbn+=reported
that ^tht+vcmp+++=that
a ^at++++=a
5 ^zz++++=5%
% ^zz++++=EXTRAWORD
detergent ^nn++++=detergent
solution ^nn+nom+++=solution
and ^cc++++=and
a ^at++++=a
1.01 ^cd++++=1.01%
% ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
solution ^nn+nom+++=solution
were ^vbd+bed+vrb++=were
effective ^jj+pred+++=effective.
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
present ^jj+atrb+++=present
study ^nn++++=study,
, ^zz++++=EXTRAWORD
sodium ^nn++++=sodium
hypochlorite ^nn++++=hypochlorite
was ^vbd+bedz+aux++=was
tested ^vpsv++agls+xvbnx+=tested
at ^rb++++=at
a ^at++++=a
lower ^jjr+atrb+++=lower
concentration ^nn+nom+++=concentration
( ^zz++++=(0.2%)
0.2 ^nn+++??+=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
because ^cs+cos+++=because
Bostrychia ^np+++??+=Bostrychia
sp ^&fo++++=sp.
. ^zz++++=EXTRAWORD
possess ^nns+nom+++=possess
a ^at++++=a
more ^rbr++++=more
delicate ^jj++++=delicate
thallus ^vbz+++??+=thallus
compared ^vbd+++xvbn+=compared
to ^in++++=to
Hypnea ^np+++??+=Hypnea
J.v.lamouroux ^np+++??+=J.V.Lamouroux.
. ^zz++++=EXTRAWORD
Members ^nns+nom+++=Members
of ^in++++=of
the ^ati++++=the
Gigartinales ^nns+nom++??+=Gigartinales
and ^cc++++=and
Gracilariales ^np+++??+=Gracilariales,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
Hypnea ^np+++??+=Hypnea
sp ^&fo++++=sp.,
. ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
Kappaphycus ^np+++??+=Kappaphycus
Doty ^np+++??+=Doty,
, ^zz++++=EXTRAWORD
Chondrus ^np+++??+=Chondrus
Stackhouse ^np+++??+=Stackhouse,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
Gracilaria ^np+++??+=Gracilaria
Greville ^np+++??+=Greville,
, ^zz++++=EXTRAWORD
contain ^vb++++=contain
phycocolloids ^nns+++??+=phycocolloids
in ^in++++=in
their ^pp$+pp3+++=their
thalli ^nn+++??+=thalli,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
confer ^vb++++=confer
increased ^jj+atrb++xvbn+=increased
rigidity ^nn+nom+++=rigidity
and ^cc++++=and
consistency ^nn++++=consistency.
. ^zz++++=EXTRAWORD
Surface ^nn++++=Surface
decontamination ^nn+nom+++=decontamination
protocols ^nns++++=protocols
for ^in++++=for
these ^dt+dem+++=these
macroalgae ^nn+++??+=macroalgae
are ^vb+ber+aux++=are
well ^rb++++=well
established ^vbd+vprv++xvbn+=established
in ^in++++=in
the ^ati++++=the
literature ^nn++++=literature,
, ^zz++++=EXTRAWORD
primarily ^rb+down+++=primarily
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
their ^pp$+pp3+++=their
economic ^jj+atrb+++=economic
significance ^nn+nom+++=significance
( ^zz++++=(Holdt
holdt ^nn+++??+=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Yong ^np+++??+=Yong
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
Saminathan ^np+nom++??+=Saminathan
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2014 ^cd++++=2014;
; ^zz++++=EXTRAWORD
ali ^np++++=Ali
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2018 ^cd++++=2018).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
