Bostrychia ^np+++??+=Bostrychia
species ^nns++++=species
exhibit ^vb++++=exhibit
apical ^jj+atrb+++=apical
cell ^nn++++=cell
growth ^nn++++=growth
in ^in++++=in
their ^pp$+pp3+++=their
branches ^nns++++=branches
and ^cc++++=and
possess ^nns+nom+++=possess
a ^at++++=a
Polysiphonia ^np+++??+=Polysiphonia-type
- ^zz++++=EXTRAWORD
type ^nn++++=EXTRAWORD
life ^nn++++=life
history ^nn++++=history.
. ^zz++++=EXTRAWORD
During ^in++++=During
the ^ati++++=the
tetrasporophyte ^nn+++??+=tetrasporophyte
stage ^nn++++=stage
( ^zz++++=(diploid),
diploid ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
tetraspores ^nns+++??+=tetraspores
( ^zz++++=(haploid)
haploid ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
released ^vpsv++agls+xvbnx+=released
and ^cc++++=and
subsequently ^rb+tm+++=subsequently
develop ^vb++++=develop
into ^in++++=into
male ^jj+atrb+++=male
and ^cc+phrs+++=and
female ^jj+atrb+++=female
gametophytes ^nns+++??+=gametophytes
( ^zz++++=(haploid).
haploid ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Male ^jj+atrb+++=Male
gametophytes ^nns+++??+=gametophytes
produce ^vb++++=produce
and ^cc++++=and
release ^nn++++=release
spermatia ^nn+++??+=spermatia
( ^zz++++=(haploid),
haploid ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
fertilize ^vb++++=fertilize
the ^ati++++=the
carpogonium ^nn+++??+=carpogonium
( ^zz++++=(haploid)
haploid ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
located ^vbd+++xvbn+=located
at ^rb++++=at
the ^ati++++=the
end ^nn++++=end
of ^in++++=of
carpogonial ^jj+atrb+++=carpogonial
branches ^nns++++=branches
of ^in++++=of
the ^ati++++=the
female ^nn++++=female
gametophytes ^nns+++??+=gametophytes.
. ^zz++++=EXTRAWORD
Following ^jj+atrb++xvbg+=Following
fertilization ^nn+nom+++=fertilization,
, ^zz++++=EXTRAWORD
carposporophytes ^nns+++??+=carposporophytes
( ^zz++++=(diploid)
diploid ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
are ^vb+ber+aux++=are
formed ^vpsv++agls+xvbnx+=formed,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
in ^in++++=in
turn ^nn++++=turn
produce ^vb++++=produce
and ^cc++++=and
release ^nn++++=release
carpospores ^nns+++??+=carpospores
( ^zz++++=(diploid)
diploid ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
that ^dt+dem+++=that
develop ^nn++++=develop
into ^in++++=into
tetrasporophytes ^nns+++??+=tetrasporophytes
( ^zz++++=(West
west ^nr+pl+++=EXTRAWORD
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
1993 ^cd+date+++=1993;
; ^zz++++=EXTRAWORD
west ^nr+pl+++=West
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2001 ^cd++++=2001).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
