Microbiological ^np+++??+=Microbiological
analyses ^nns++++=analyses
and ^cc++++=and
decoction ^nn+nom+++=decoction
preparation ^nn+nom+++=preparation
of ^in++++=of
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
leaves ^nns++++=leaves
were ^vbd+bed+aux++=were
conducted ^vpsv++agls+xvbnx+=conducted
at ^rb++++=at
the ^ati++++=the
Veterinary ^jj+atrb+++=Veterinary
Microbiology ^np+++??+=Microbiology
Laboratory ^nn++++=Laboratory
( ^zz++++=(LAMIV)
lamiv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
of ^in++++=of
the ^ati++++=the
Universidade ^np+++??+=Universidade
Federal ^jj++++=Federal
do ^vb+do+vrb++=do
Semirido ^np+++??+=Semirido
( ^zz++++=(UFERSA).
ufersa ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Phytochemical ^np+++??+=Phytochemical
compound ^jj+atrb+++=compound
analyses ^nns++++=analyses
and ^cc++++=and
hydroalcoholic ^jj+atrb+++=hydroalcoholic
extract ^nn++++=extract
preparation ^nn+nom+++=preparation
of ^in++++=of
Libidibia ^np+++??+=Libidibia
ferrea ^nn+++??+=ferrea
leaves ^nns++++=leaves
were ^vbd+bed+aux++=were
performed ^vpsv++agls+xvbnx+=performed
at ^rb++++=at
the ^ati++++=the
Chromatography ^np+++??+=Chromatography
Laboratory ^nn++++=Laboratory
of ^in++++=of
the ^ati++++=the
universidade ^np++++=Universidade
estadual ^np+nom+++=Estadual
do ^vb+do+vrb++=do
rio ^np++++=Rio
grande ^&fw++++=Grande
do ^vb+do+vrb++=do
norte ^np++++=Norte
( ^zz++++=(UERN).
uern ^jj+atrb+++=EXTRAWORD
). ^nn++++=EXTRAWORD
