Regarding ^in++++=Regarding
the ^ati++++=the
distribution ^nn+nom+++=distribution
of ^in++++=of
reading ^xvbg+++xvbg+=reading
types ^nns++++=types
across ^in+pl+++=across
the ^ati++++=the
three ^cd++++=three
academic ^jj+atrb+++=academic
areas ^nns++++=areas
examined ^vwbn+++xvbn+=examined,
, ^zz++++=EXTRAWORD
syllabuses ^nns++++=syllabuses
in ^in++++=in
the ^ati++++=the
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
assigned ^vbd+++xvbn+=assigned
the ^ati++++=the
highest ^jjt+atrb+++=highest
number ^nn++++=number
of ^in++++=of
journal ^nn++++=journal
articles ^nns++++=articles
( ^zz++++=(5,264)
5,264 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
across ^in+pl+++=across
the ^ati++++=the
most ^ql+emph+++=most
syllabuses ^nns++++=syllabuses
( ^zz++++=(457;
457 ^cd++++=EXTRAWORD
; ^zz++++=EXTRAWORD
36.3% ^cd++++=36.3%),
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
followed ^vpbn+vprv++xvbn+=followed
by ^in++++=by
the ^ati++++=the
humanities ^nns+nom+++=humanities,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
assigned ^vbd+++xvbn+=assigned
1,656 ^cd++++=1,656
journal ^nn++++=journal
articles ^nns++++=articles
on ^in++++=on
165 ^cd++++=165
syllabuses ^nns++++=syllabuses
( ^zz++++=(23.9%),
23.9% ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
sciences ^nns+nom+++=sciences
assigned ^vbd+++xvbn+=assigned
substantially ^rb++++=substantially
fewer ^ap++++=fewer,
, ^zz++++=EXTRAWORD
with ^in++++=with
only ^rb+down+++=only
1,041 ^cd++++=1,041
journal ^nn++++=journal
articles ^nns++++=articles
on ^in++++=on
86 ^cd++++=86
syllabuses ^nns++++=syllabuses
( ^zz++++=(5.9%)
5.9 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
( ^zz++++=(Table
table ^nn++++=EXTRAWORD
4 ^zz++++=4).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
also ^rb++++=also
assigned ^vbd+++xvbn+=assigned
a ^at++++=a
greater ^jjr+atrb+++=greater
number ^nn++++=number
of ^in++++=of
scholarly ^jj+atrb+++=scholarly
book ^nn++++=book
chapters ^nns+nom+++=chapters
and ^cc++++=and
media ^nn++++=media
articles ^nns++++=articles
than ^in++++=than
the ^ati++++=the
other ^ap++++=other
two ^cd++++=two
areas ^nns++++=areas,
, ^zz++++=EXTRAWORD
both ^abx++++=both
in ^in++++=in
relative ^jj+atrb+++=relative
and ^cc+phrs+++=and
absolute ^jj+atrb+++=absolute
terms ^nns++++=terms.
. ^zz++++=EXTRAWORD
In ^in++++=In
contrast ^nn++++=contrast,
, ^zz++++=EXTRAWORD
humanities ^nns+nom+++=humanities
syllabuses ^nns++++=syllabuses
assigned ^vbd+++xvbn+=assigned
the ^ati++++=the
most ^ap+emph+++=most
trade ^nn++++=trade-book
- ^zz++++=EXTRAWORD
book ^nn++++=EXTRAWORD
chapters ^nns+nom+++=chapters,
, ^zz++++=EXTRAWORD
with ^in++++=with
570 ^cd++++=570
chapters ^nns+nom+++=chapters
appearing ^vbg+seem+++=appearing
on ^in++++=on
64 ^cd++++=64
syllabuses ^nns++++=syllabuses
( ^zz++++=(9.3%).
9.3% ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
