Most ^ql+emph+++=Most
indicators ^nns++++=indicators,
, ^zz++++=EXTRAWORD
however ^rb+cnj+++=however,
, ^zz++++=EXTRAWORD
were ^vbd+bed+aux++=were
used ^vpsv++agls+xvbnx+=used
individually ^rb++++=individually
and ^cc++++=and
were ^vbd+bed+aux++=were
not ^xnot++not++=not
integrated ^vbd+++xvbn+=integrated
into ^in++++=into
compound ^jj+atrb+++=compound
criteria ^nns++++=criteria.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
the ^ati++++=the
majority ^nn+nom+++=majority
of ^in++++=of
documents ^nns+nom+++=documents
( ^zz++++=(83.33%)
83.33 ^cd++++=EXTRAWORD
% ^zz++++=EXTRAWORD
) ^zz++++=EXTRAWORD
utilized ^vbd+++xvbn+=utilized
no ^at++++=no
more ^rbr++++=more
than ^in++++=than
seven ^cd++++=seven
simple ^jj+atrb+++=simple
indicators ^nns++++=indicators
to ^to++++=to
inform ^vbi++++=inform
decision ^nn++++=decision-making
- ^zz++++=EXTRAWORD
making ^vbg+++xvbg+=EXTRAWORD
processes ^nns+nom+++=processes.
. ^zz++++=EXTRAWORD
Based ^xvbn+++xvbn+=Based
on ^in++++=on
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
simple ^jj+atrb+++=simple
indicators ^nns++++=indicators
presented ^vwbn+++xvbn+=presented
in ^in++++=in
Table ^nn++++=Table
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
the ^ati++++=the
federative ^jj+atrb+++=federative
units ^nns++++=units
were ^vbd+bed+vrb++=were
categorized ^jj+pred+++=categorized
into ^in++++=into
classes ^nns++++=classes.
. ^zz++++=EXTRAWORD
