Given ^vprf+++xvbn+=Given
that ^dt+dem+++=that
the ^ati++++=the
Scielo ^np+++??+=SciELO
Network ^nn++++=Network
has ^vbz+hvz+aux++=has
been ^vprf+ben+vrb+xvbnx+=been
operational ^jj++++=operational
for ^in++++=for
over ^in++++=over
20 ^cd++++=20
years ^nns++++=years,
, ^zz++++=EXTRAWORD
analysis ^nn++++=analysis
of ^in++++=of
its ^pp$+it+++=its
scientific ^jj+atrb+++=scientific
output ^nn++++=output
in ^in++++=in
the ^ati++++=the
fields ^nns++++=fields
of ^in++++=of
Public ^nn++++=Public
and ^cc++++=and
Collective ^jj+atrb+++=Collective
Health ^nn++++=Health
enables ^vbz++++=enables
the ^ati++++=the
identification ^nn+nom+++=identification
of ^in++++=of
the ^ati++++=the
most ^ql+emph+++=most
productive ^jj+atrb+++=productive
countries ^nns++++=countries
in ^in++++=in
the ^ati++++=the
region ^nn++++=region.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
assessment ^nn+nom+++=assessment
is ^vbz+bez+aux++=is
based ^vpsv++agls+xvbnx+=based
on ^in++++=on
citation ^nn+nom+++=citation
flow ^nn++++=flow,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
considers ^nns+nom+++=considers
both ^abx++++=both
the ^ati++++=the
language ^nn+nom+++=language
of ^in++++=of
the ^ati++++=the
cited ^jj+atrb++xvbn+=cited
articles ^nns++++=articles
and ^cc++++=and
the ^ati++++=the
representativeness ^nns+nom+++=representativeness
of ^in++++=of
Scielo ^np+++??+=SciELO
Citation ^np+nom++??+=Citation
Index ^nn++++=Index
( ^zz++++=(CI)
ci ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
within ^in++++=within
the ^ati++++=the
databases ^nns+++??+=databases
available ^jj++++=available
on ^in++++=on
the ^ati++++=the
Web ^nn++++=Web
of ^in++++=of
Science ^nn+nom+++=Science
( ^zz++++=(WoS)
wos ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
platform ^nn++++=platform.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
methodology ^nn++++=methodology
highlights ^nns++++=highlights
the ^ati++++=the
significance ^nn+nom+++=significance
of ^in++++=of
databases ^nns+++??+=databases
such ^abl++++=such
as ^ql++++=as
Scielo ^np+++??+=SciELO
Ci ^np+++??+=CI
in ^in++++=in
research ^nn++++=research
areas ^nns++++=areas
that ^tht+rel+obj++=that
address ^nns+nom+++=address
local ^jj+atrb+++=local
issues ^nns++++=issues,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+aux++=are
most ^ql+emph+++=most
effectively ^rb++++=effectively
studied ^vpsv++by+xvbn+=studied
by ^in++++=by
researchers ^nns+nom+++=researchers
affiliated ^vbd+++xvbn+=affiliated
with ^in++++=with
national ^jj+atrb+++=national
institutions ^nns+nom+++=institutions
and ^cc++++=and
are ^vb+ber+vrb++=are
prevalent ^jj+pred+++=prevalent
in ^in++++=in
regional ^jj+atrb+++=regional
or ^cc+phrs+++=or
local ^jj+atrb+++=local
contexts ^nns++++=contexts,
, ^zz++++=EXTRAWORD
where ^wrb+who+++=where
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
native ^jj+atrb+++=native
languages ^nns+nom+++=languages
is ^vbz+bez+vrb++=is
particularly ^rb++++=particularly
relevant ^jj+pred+++=relevant.
. ^zz++++=EXTRAWORD
