Since ^in++++=Since
Brazil ^np++++=Brazil
s ^zz++++=s
transition ^nn+nom+++=transition
from ^in++++=from
colonial ^jj+atrb+++=colonial
rule ^nn++++=rule
in ^in++++=in
the ^ati++++=the
nineteenth ^od++++=nineteenth
century ^nn++++=century,
, ^zz++++=EXTRAWORD
its ^pp$+it+++=its
education ^nn+nom+++=education
system ^nn++++=system
has ^vbz+hvz+aux++=has
exhibited ^vprf+++xvbnx+=exhibited
pronounced ^vbd+++xvbn+=pronounced
social ^jj+atrb+++=social
stratification ^nn+nom+++=stratification
and ^cc++++=and
elitism ^nn+nom+++=elitism.
. ^zz++++=EXTRAWORD
Patterns ^nns++++=Patterns
of ^in++++=of
exclusion ^nn++++=exclusion
and ^cc++++=and
unequal ^jj+atrb+++=unequal
access ^nn++++=access
are ^vb+ber+aux++=are
reinforced ^vpsv++by+xvbnx+=reinforced
by ^in++++=by
discourses ^nns++++=discourses
that ^tht+rel+subj++=that
serve ^vb++++=serve
to ^to++++=to
segregate ^nn+nom+++=segregate
and ^cc+phrs+++=and
perpetuate ^nn+nom+++=perpetuate
existing ^jj+atrb++xvbg+=existing
power ^nn++++=power
structures ^nns++++=structures.
. ^zz++++=EXTRAWORD
For ^in++++=For
instance ^nn+nom+++=instance,
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
2019 ^cd++++=2019
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
former ^ap++++=former
Brazilian ^jj+atrb+++=Brazilian
Minister ^nn+nom+++=Minister
of ^in++++=of
Education ^nn+nom+++=Education
Ricardo ^np+++??+=Ricardo
V ^zz++++=V
lez ^nn+++??+=lez
Rodr ^np+++??+=Rodr
guez ^vb+++??+=guez
dismissed ^vbd+++xvbn+=dismissed
the ^ati++++=the
concept ^nn++++=concept
of ^in++++=of
universal ^nn+nom+++=universal
university ^npl+nom+++=university
access ^nn++++=access,
, ^zz++++=EXTRAWORD
asserting ^vbg+vpub++xvbg+=asserting
that ^tht+vcmp+++=that
university ^npl+nom+++=university
education ^nn+nom+++=education
should ^md+nec+++=should
remain ^vb++++=remain
a ^at++++=a
' ^zz++++='privilege'
privilege ^nn++++=EXTRAWORD
' ^zz++++=EXTRAWORD
reserved ^vbd+++xvbn+=reserved
for ^in++++=for
a ^at++++=a
small ^jj+atrb+++=small
elite ^nn++++=elite
( ^zz++++=(Gazeta
gazeta ^nn+++??+=EXTRAWORD
do ^vb+do+vrb++=do
Povo ^np+++??+=Povo
2019 ^cd++++=2019).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
recent ^jj+atrb+++=recent
legislation ^nn+nom+++=legislation
such ^abl++++=such
as ^ql++++=as
Ordinance ^nn+nom+++=Ordinance
No ^rb++++=No.
. ^zz++++=EXTRAWORD
1122 ^cd++++=1122/2020
from ^in++++=from
the ^ati++++=the
Ministry ^nn++++=Ministry
of ^in++++=of
Science ^nn+nom+++=Science,
, ^zz++++=EXTRAWORD
Technology ^nn++++=Technology,
, ^zz++++=EXTRAWORD
Innovation ^nn+nom+++=Innovation
and ^cc++++=and
Communications ^nns+nom+++=Communications
( ^zz++++=(MCTIC)
mctic ^jj++++=EXTRAWORD
) ^zz++++=EXTRAWORD
stipulates ^nns+nom+++=stipulates
that ^dt+dem+++=that
public ^jj+atrb+++=public
research ^nn++++=research
funding ^vwbg+++xvbg+=funding
for ^in++++=for
higher ^jjr+atrb+++=higher
education ^nn+nom+++=education
institutions ^nns+nom+++=institutions
between ^in++++=between
2020 ^cd++++=2020
and ^cc++++=and
2023 ^cd++++=2023
should ^md+nec+++=should
prioritize ^vb++++=prioritize
technology ^nn++++=technology
and ^cc++++=and
scientific ^jj+atrb+++=scientific
innovation ^nn+nom+++=innovation,
, ^zz++++=EXTRAWORD
often ^rb++++=often
to ^in++++=to
the ^ati++++=the
detriment ^nn+nom+++=detriment
of ^in++++=of
fields ^nns++++=fields
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
humanities ^nns+nom+++=humanities
and ^cc++++=and
social ^jj+atrb+++=social
sciences ^nns+nom+++=sciences
( ^zz++++=(Federative
federative ^jj+atrb+++=EXTRAWORD
Republic ^nn++++=Republic
of ^in++++=of
Brazil ^np++++=Brazil
2020b ^cd++++=2020b).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
policy ^nn++++=policy
indicates ^nns+nom+++=indicates
a ^at++++=a
governmental ^jj+atrb+++=governmental
stance ^nn++++=stance
that ^tht+rel+++=that
research ^nn++++=research
outside ^in+cmpx+++=outside
of ^in"++++=of
stem ^nn++++=STEM
disciplines ^nns++++=disciplines
is ^vbz+bez+vrb++=is
of ^in++++=of
lesser ^jjr+atrb+++=lesser
importance ^nn+nom+++=importance.
. ^zz++++=EXTRAWORD
