Nafa ^np+++??+=NAFA
recommends ^vbz+vsua+++=recommends
the ^ati++++=the
use ^nn++++=use
of ^in++++=of
a ^at++++=a
properly ^rb++++=properly
designed ^vbd+++xvbn+=designed
and ^cc+phrs+++=and
maintained ^vbd+vpub++xvbn+=maintained
ultraviolet ^nn+++??+=ultraviolet
( ^zz++++=(UV)
uv ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
system ^nn++++=system,
, ^zz++++=EXTRAWORD
often ^rb++++=often
in ^in++++=in
combination ^nn++++=combination
with ^in++++=with
filtration ^nn++++=filtration,
, ^zz++++=EXTRAWORD
humidity ^nn++++=humidity
control ^nn++++=control,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
airflow ^jj+atrb++??+=airflow
management ^nn++++=management,
, ^zz++++=EXTRAWORD
to ^to++++=to
reduce ^vbi++++=reduce
the ^ati++++=the
transmission ^nn++++=transmission
of ^in++++=of
various ^jj+atrb+++=various
viruses ^nns++++=viruses.
. ^zz++++=EXTRAWORD
Uv ^np+++??+=UV-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
light ^jj++++=light
is ^vbz+bez+aux++=is
absorbed ^vpsv++by+xvbnx+=absorbed
by ^in++++=by
ribonucleic ^nn+++??+=ribonucleic
acid ^nn++++=acid
( ^zz++++=(RNA)
rna ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
and ^cc++++=and
deoxyribonucleic ^nn+++??+=deoxyribonucleic
acid ^nn++++=acid
( ^zz++++=(DNA)
dna ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
cells ^nns++++=cells
and ^cc++++=and
microorganisms ^nns+++??+=microorganisms,
, ^zz++++=EXTRAWORD
inducing ^vbg+++xvbg+=inducing
structural ^jj+atrb+++=structural
changes ^nns++++=changes
that ^tht+rel+subj++=that
inhibit ^vb++++=inhibit
their ^pp$+pp3+++=their
ability ^nn++++=ability
to ^to+ncmp+++=to
replicate ^vb+++??+=replicate.
. ^zz++++=EXTRAWORD
Numerous ^jj+atrb+++=Numerous
microorganisms ^nns+++??+=microorganisms,
, ^zz++++=EXTRAWORD
including ^in++++=including
bacteria ^nns++++=bacteria,
, ^zz++++=EXTRAWORD
viruses ^nns++++=viruses,
, ^zz++++=EXTRAWORD
fungi ^nns++++=fungi,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
spores ^nns+++??+=spores,
, ^zz++++=EXTRAWORD
are ^vb+ber+vrb++=are
susceptible ^jj+pred+++=susceptible
to ^in++++=to
inactivation ^nn+++??+=inactivation
by ^in++++=by
Uv ^np+++??+=UV-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
light ^jj++++=light.
. ^zz++++=EXTRAWORD
The ^ati++++=The
extent ^nn++++=extent
of ^in++++=of
inactivation ^nn+++??+=inactivation
is ^vbz+bez+vrb++=is
directly ^rb++++=directly
proportional ^jj+pred+++=proportional
to ^in++++=to
the ^ati++++=the
Uv ^np+++??+=UV-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
dose ^nn++++=dose
received ^vbd+++xvbn+=received,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
determined ^vpsv++by+xvbnx+=determined
by ^in++++=by
both ^abx++++=both
the ^ati++++=the
intensity ^nn++++=intensity
of ^in++++=of
the ^ati++++=the
Uv ^np+++??+=UV-C
- ^zz++++=EXTRAWORD
c ^zz++++=EXTRAWORD
light ^jj++++=light
and ^cc++++=and
the ^ati++++=the
duration ^nn++++=duration
of ^in++++=of
exposure ^nn++++=exposure
[ ^zz++++=[23,
23 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
24 ^cd++++=24].
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
