We ^pp1a+pp1+++=We
observed ^vbd+vprv++xvbn+=observed
stable ^nn++++=stable
scores ^nns++++=scores
across ^in+pl+++=across
the ^ati++++=the
three ^cd++++=three
scales ^nns++++=scales.
. ^zz++++=EXTRAWORD
Compared ^j+++xvbn+=Compared
to ^in++++=to
other ^ap++++=other
instruments ^nns++++=instruments,
, ^zz++++=EXTRAWORD
our ^pp$+pp1+++=our
scales ^nns++++=scales
are ^vb+ber+vrb++=are
relatively ^rb++++=relatively
brief ^jj+pred+++=brief
while ^cs+sub+++=while
demonstrating ^vbg+++xvbg+=demonstrating
acceptable ^jj+atrb+++=acceptable
internal ^jj+atrb+++=internal
consistency ^nn++++=consistency.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
noteworthy ^jj+pred+++=noteworthy
because ^cs+cos+++=because
many ^ap++++=many
existing ^jj+atrb++xvbg+=existing
scales ^nns++++=scales,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
Warr ^np+++??+=Warr-Cook-Wall
- ^zz++++=EXTRAWORD
cook ^nn++++=EXTRAWORD
- ^zz++++=EXTRAWORD
wall ^nn++++=EXTRAWORD
Job ^nn++++=Job
Satisfaction ^nn++++=Satisfaction
Scale ^nn++++=Scale,
, ^zz++++=EXTRAWORD
often ^rb++++=often
exhibit ^vb++++=exhibit
limited ^vbd+++xvbn+=limited
variability ^nn++++=variability
and ^cc++++=and
require ^vb+vsua+++=require
a ^at++++=a
large ^jj+atrb+++=large
number ^nn++++=number
of ^in++++=of
items ^nns++++=items
to ^to++++=to
achieve ^vb++++=achieve
stable ^jj+atrb+++=stable
measurements ^nns++++=measurements.
. ^zz++++=EXTRAWORD
