Barbosa ^np+++??+=Barbosa
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
[ ^zz++++=[33],
33 ^cd++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
in ^in++++=in
a ^at++++=a
study ^nn++++=study
of ^in++++=of
Brazilian ^jj+atrb+++=Brazilian
children ^nns++++=children
with ^in++++=with
and ^cc++++=and
without ^in++++=without
pneumonia ^nn++++=pneumonia,
, ^zz++++=EXTRAWORD
reported ^nn+++xvbn+=reported
that ^tht+ncmp+++=that
serum ^nn++++=serum
retinol ^nn+++??+=retinol
levels ^nns++++=levels
were ^vbd+bed+vrb++=were
significantly ^rb++++=significantly
lower ^jjr+pred+++=lower
during ^in++++=during
the ^ati++++=the
inflammatory ^jj+atrb+++=inflammatory
phase ^nn++++=phase
compared ^vbd+++xvbn+=compared
to ^in++++=to
levels ^nns++++=levels
measured ^vbd+++xvbn+=measured
after ^in++++=after
recovery ^nn++++=recovery
( ^zz++++=(1.11
1.11 ^cd++++=EXTRAWORD
0.43 ^nn+++??+=0.43
vs ^in+strn+++=vs.
. ^zz++++=EXTRAWORD
1.38 ^cd++++=1.38
0.30 ^nn+++??+=0.30
mol ^nn+++??+=mol/L;
p<0.05 ^nn+++??+=p<0.05).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
authors ^nns++++=authors
attributed ^vwbn+++xvbn+=attributed
this ^dt+dem+++=this
reduction ^nn++++=reduction
to ^in++++=to
the ^ati++++=the
acute ^jj+atrb+++=acute
phase ^nn++++=phase
response ^nn++++=response,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
decreased ^vprf+++xvbn+=decreased
mobilization ^nn+++??+=mobilization
of ^in++++=of
hepatic ^nn+++??+=hepatic
nutrient ^jj+atrb+++=nutrient
reserves ^nns++++=reserves
and ^cc++++=and
an ^at++++=an
increased ^nn++++=increased
demand ^vb++++=demand
for ^in++++=for
retinol ^nn+++??+=retinol
due ^jj++++=due
to ^to+jcmp+++=to
heightened ^vbi++++=heightened
immune ^jj+atrb+++=immune
cell ^nn++++=cell
activity ^nn++++=activity
during ^in++++=during
pneumonia ^nn++++=pneumonia.
. ^zz++++=EXTRAWORD
