Coronavirus ^np+++??+=Coronavirus
disease ^nn++++=disease
2019 ^cd++++=2019
( ^zz++++=(COVID-19)
covid ^nn+++??+=EXTRAWORD
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+vrb++=is
a ^at++++=a
respiratory ^jj+atrb+++=respiratory
illness ^nn++++=illness
caused ^vwbn+++xvbn+=caused
by ^in++++=by
the ^ati++++=the
novel ^nn++++=novel
coronavirus ^nns+++??+=coronavirus
( ^zz++++=(2019-nCoV),
2019 ^cd++++=EXTRAWORD
- ^zz++++=EXTRAWORD
ncov ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
was ^vbd+bedz+aux++=was
first ^od++++=first
identified ^vbd+++xvbn+=identified
in ^in++++=in
Wuhan ^np+++??+=Wuhan,
, ^zz++++=EXTRAWORD
China ^np++++=China,
, ^zz++++=EXTRAWORD
in ^in++++=in
December ^nr++++=December
2019 ^cd++++=2019
[ ^zz++++=[1].
1 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
rapid ^jj+atrb+++=rapid
global ^jj+atrb+++=global
dissemination ^nn+++??+=dissemination
of ^in++++=of
this ^dt+dem+++=this
virus ^nn++++=virus
has ^vbz+hvz+aux++=has
posed ^vprf+++xvbnx+=posed
significant ^jj++++=significant
challenges ^vbz++++=challenges
to ^in++++=to
public ^jj+atrb+++=public
health ^nn++++=health
systems ^nns++++=systems
worldwide ^nn+++??+=worldwide
[ ^zz++++=[2].
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
According ^in+cmpx+++=According
to ^in"++++=to
a ^at++++=a
report ^nn++++=report
by ^in++++=by
the ^ati++++=the
World ^nn++++=World
Health ^nn++++=Health
Organization ^nn++++=Organization
( ^zz++++=(WHO)
who ^whp+who+++=EXTRAWORD
) ^zz++++=EXTRAWORD
[ ^zz++++=[2],
2 ^zz++++=EXTRAWORD
] ^zz++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
of ^in++++=of
April ^nr++++=April
30 ^cd++++=30,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020,
, ^zz++++=EXTRAWORD
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic
had ^vbd+hvd+aux++=had
resulted ^vprf+++xvbnx+=resulted
in ^in++++=in
3,090,445 ^cd++++=3,090,445
confirmed ^vbn+vpub++xvbn+=confirmed
cases ^nns++++=cases
and ^cc++++=and
more ^rbr++++=more
than ^in++++=than
217,000 ^cd++++=217,000
deaths ^nns++++=deaths,
, ^zz++++=EXTRAWORD
with ^in++++=with
common ^jj+atrb+++=common
clinical ^jj+atrb+++=clinical
manifestations ^nns++++=manifestations
including ^in++++=including
fever ^nn++++=fever,
, ^zz++++=EXTRAWORD
dry ^jj+atrb+++=dry
cough ^nn++++=cough,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
shortness ^nns++++=shortness
of ^in++++=of
breath ^nn++++=breath
[ ^zz++++=[3,4].
3,4 ^cd++++=EXTRAWORD
]. ^nn++++=EXTRAWORD
