Conidiophores ^np+++??+=Conidiophores
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
observed ^jj+++xvbn+=observed.
. ^zz++++=EXTRAWORD
Conidia ^np+++??+=Conidia
are ^vb+ber+vrb++=are
solitary ^jj+pred+++=solitary,
, ^zz++++=EXTRAWORD
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
cylindrical ^jj++++=cylindrical-fusiform,
- ^zz++++=EXTRAWORD
fusiform ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
multi ^nn+++??+=multi-septate,
- ^zz++++=EXTRAWORD
septate ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
with ^in++++=with
a ^at++++=a
filiform ^nn+++??+=filiform,
, ^zz++++=EXTRAWORD
curved ^jj+atrb+++=curved
apex ^nn++++=apex.
. ^zz++++=EXTRAWORD
Each ^dt++++=Each
conidium ^nn+++??+=conidium
consists ^vbz++++=consists
of ^in++++=of
a ^at++++=a
main ^jjb+atrb+++=main
axis ^nn++++=axis
measuring ^vwbg+++xvbg+=measuring
160 ^cd++++=160
185 ^cd++++=185
m ^zz++++=m
in ^in++++=in
length ^nn++++=length
and ^cc++++=and
9 ^zz++++=9
10 ^cd++++=10
m ^zz++++=m
in ^in++++=in
width ^nn++++=width
at ^in++++=at
the ^ati++++=the
thinnest ^nn+++??+=thinnest
part ^nn++++=part,
, ^zz++++=EXTRAWORD
containing ^vbg+++xvbg+=containing
17 ^cd++++=17
19 ^cd++++=19
septa ^nn+++??+=septa.
. ^zz++++=EXTRAWORD
Additionally ^np+++??+=Additionally,
, ^zz++++=EXTRAWORD
two ^cd++++=two
lateral ^jj+atrb+++=lateral
branches ^nns++++=branches
are ^vb+ber+aux++=are
present ^vb++++=present,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
are ^vb+ber+vrb++=are
thin ^jj+pred+++=thin,
, ^zz++++=EXTRAWORD
cylindrical ^jj++++=cylindrical,
, ^zz++++=EXTRAWORD
light ^jj++++=light
brown ^jj++++=brown,
, ^zz++++=EXTRAWORD
measuring ^vbg+++xvbg+=measuring
65 ^cd++++=65
110 ^cd++++=110
2.0 ^cd++++=2.0
2.5 ^cd++++=2.5
m ^zz++++=m,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
containing ^jj++++=containing
7 ^zz++++=7
9 ^zz++++=9
septa ^nn++++=septa.
. ^zz++++=EXTRAWORD
