Chart ^nn++++=Chart
1 ^zz++++=1
( ^zz++++=(Appendix
appendix ^nn++++=EXTRAWORD
1 ^zz++++=1)
) ^zz++++=EXTRAWORD
presents ^vbz++++=presents
data ^nns++++=data
on ^in++++=on
the ^ati++++=the
school ^nn++++=school
meal ^nn++++=meal
benefits ^nns++++=benefits
provided ^vwbn+vsua++xvbn+=provided
by ^in++++=by
each ^dt++++=each
Brazilian ^jj+atrb+++=Brazilian
state ^nn++++=state
and ^cc++++=and
the ^ati++++=the
Federal ^jj+atrb+++=Federal
District ^nn++++=District
to ^in++++=to
students ^nns++++=students'
' ^zz++++=EXTRAWORD
families ^nns++++=families
during ^in++++=during
the ^ati++++=the
suspension ^nn++++=suspension
of ^in++++=of
classes ^nns++++=classes
caused ^vwbn+++xvbn+=caused
by ^in++++=by
the ^ati++++=the
pandemic ^nn+++??+=pandemic,
, ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
on ^in++++=on
the ^ati++++=the
official ^jj+atrb+++=official
websites ^nns+++??+=websites
of ^in++++=of
the ^ati++++=the
27 ^cd++++=27
State ^nn++++=State
Departments ^nns++++=Departments
of ^in++++=of
Education ^nn++++=Education
( ^zz++++=(data
data ^nns++++=EXTRAWORD
retrieved ^vbd+++xvbn+=retrieved
between ^in++++=between
June ^nr++++=June
6 ^zz++++=6
and ^cc++++=and
June ^nr++++=June
8 ^zz++++=8,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
The ^ati++++=The
analysis ^nn++++=analysis
aimed ^vbd+++xvbn+=aimed
to ^to+vcmp+++=to
identify ^vbi++++=identify
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
families ^nns++++=families
and ^cc++++=and
students ^nns++++=students
who ^whp+rel+subj++=who
received ^vbd+++xvbn+=received
benefits ^nns++++=benefits,
, ^zz++++=EXTRAWORD
the ^ati++++=the
monetary ^jj+atrb+++=monetary
value ^nn++++=value
and ^cc++++=and
type ^nn++++=type
of ^in++++=of
benefit ^nn++++=benefit
distributed ^vwbn+++xvbn+=distributed,
, ^zz++++=EXTRAWORD
the ^ati++++=the
method ^nn++++=method
of ^in++++=of
transfer ^nn++++=transfer
or ^cc++++=or
delivery ^nn++++=delivery,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
the ^ati++++=the
eligibility ^nn++++=eligibility
criteria ^nns++++=criteria
applied ^jj++++=applied
for ^in++++=for
benefit ^nn++++=benefit
allocation ^nn++++=allocation.
. ^zz++++=EXTRAWORD
