Among ^in++++=Among
the ^ati++++=the
eight ^cd++++=eight
Health ^nn++++=Health
Regions ^nns++++=Regions
with ^in++++=with
the ^ati++++=the
highest ^jjt+atrb+++=highest
rates ^nns++++=rates,
, ^zz++++=EXTRAWORD
Mpv ^np+++??+=MPV
decreased ^vbd+++xvbn+=decreased
from ^in++++=from
42.1 ^cd++++=42.1%
% ^zz++++=EXTRAWORD
to ^to++++=to
1.7 ^cd++++=1.7%
% ^zz++++=EXTRAWORD
( ^zz++++=(a
a ^at++++=EXTRAWORD
96 ^cd++++=96%
% ^zz++++=EXTRAWORD
reduction ^nn++++=reduction)
) ^zz++++=EXTRAWORD
when ^wrb+who+++=when
comparing ^vbg+++xvbg+=comparing
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
higher ^jjr+atrb+++=higher
rates ^nns++++=rates
and ^cc++++=and
rainfall ^nn++++=rainfall
( ^zz++++=(October
october ^nr++++=EXTRAWORD
to ^in++++=to
March ^nr++++=March)
) ^zz++++=EXTRAWORD
to ^in++++=to
the ^ati++++=the
period ^nn++++=period
of ^in++++=of
lower ^jjr+atrb+++=lower
rates ^nns++++=rates
and ^cc++++=and
rainfall ^nn++++=rainfall
( ^zz++++=(April
april ^nr++++=EXTRAWORD
to ^in++++=to
September ^nr++++=September).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
In ^in++++=In
the ^ati++++=the
eight ^cd++++=eight
regions ^nns++++=regions
with ^in++++=with
comparatively ^rb++++=comparatively
lower ^jjr+atrb+++=lower
rates ^nns++++=rates
and ^cc++++=and
rainfall ^nn++++=rainfall,
, ^zz++++=EXTRAWORD
Mpv ^np+++??+=MPV
declined ^vbd+++xvbn+=declined
from ^in++++=from
51.6 ^cd++++=51.6%
% ^zz++++=EXTRAWORD
during ^in++++=during
October ^nr++++=October
to ^in++++=to
March ^nr++++=March
to ^to++++=to
13.2 ^cd++++=13.2%
% ^zz++++=EXTRAWORD
during ^in++++=during
April ^nr++++=April
To ^in++++=to
September ^nr++++=September,
 ^zz++++=EXTRAWORD
Representing ^vbg+++xvbg+=representing
A ^at++++=a
4.4 ^cd++++=74.4%
 ^zz++++=EXTRAWORD
Decrease ^vb++++=decrease.
 ^zz++++=EXTRAWORD
