Leptospirosis ^np+++??+=Leptospirosis
is ^vbz+bez+aux++=is
associated ^vpsv++agls+xvbnx+=associated
with ^in++++=with
patterns ^nns++++=patterns
of ^in++++=of
unregulated ^nn+++??+=unregulated
land ^nn++++=land
occupation ^nn++++=occupation,
, ^zz++++=EXTRAWORD
particularly ^rb++++=particularly
the ^ati++++=the
construction ^nn++++=construction
of ^in++++=of
housing ^nn++++=housing
in ^in++++=in
floodplain ^nn+++??+=floodplain
areas ^nns++++=areas
lacking ^vwbg+++xvbg+=lacking
basic ^jj+atrb+++=basic
infrastructure ^nn+++??+=infrastructure.
. ^zz++++=EXTRAWORD
Environmental ^jj+atrb+++=Environmental
changes ^nns++++=changes
resulting ^vwbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
degradation ^nn++++=degradation
of ^in++++=of
these ^dt+dem+++=these
areas ^nns++++=areas
contribute ^vb++++=contribute
to ^in++++=to
the ^ati++++=the
creation ^nn++++=creation
of ^in++++=of
unhealthy ^jj+atrb+++=unhealthy
conditions ^nns++++=conditions,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
increasing ^jj+++xvbg+=increasing
the ^ati++++=the
risk ^nn++++=risk
for ^in++++=for
various ^jj+atrb+++=various
diseases ^nns++++=diseases,
, ^zz++++=EXTRAWORD
including ^in++++=including
leptospirosis ^nns++++=leptospirosis.
. ^zz++++=EXTRAWORD
