Countries ^nns++++=Countries
with ^in++++=with
ongoing ^nn+++??+=ongoing
and ^cc++++=and
comprehensive ^jj+atrb+++=comprehensive
Bacillus ^np+++??+=Bacillus
Calmette ^np+++??+=Calmette-Gu
- ^zz++++=EXTRAWORD
gu ^nn+++??+=EXTRAWORD
rin ^nn+++??+=rin
( ^zz++++=(BCG)
bcg ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
are ^vb+ber+vrb++=are
likely ^jj+pred+++=likely
to ^to+jcmp+++=to
experience ^vb++++=experience
lower ^jjr++++=lower
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
incidence ^nn++++=incidence,
, ^zz++++=EXTRAWORD
mortality ^nn++++=mortality,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
lethality ^nn+++??+=lethality
rates ^nns++++=rates
compared ^vbd+++xvbn+=compared
to ^in++++=to
countries ^nns++++=countries
that ^tht+rel+subj++=that
have ^vb+hv+aux++=have
discontinued ^vpsv++agls+xvbn+=discontinued
or ^cc++++=or
never ^rb++++=never
implemented ^vpsv++agls+xvbn+=implemented
such ^abl++++=such
vaccination ^nn++++=vaccination
programs ^nns++++=programs.
. ^zz++++=EXTRAWORD
