Pedagogical ^np+++??+=Pedagogical
practices ^nns++++=practices
can ^md+pos+++=can
be ^vb+be+aux++=be
informed ^vpsv++agls+xvbnx+=informed
and ^cc+phrs+++=and
enhanced ^vpsv++by+xvbn+=enhanced
by ^in++++=by
the ^ati++++=the
application ^nn++++=application
of ^in++++=of
scientific ^jj+atrb+++=scientific
knowledge ^nn++++=knowledge,
, ^zz++++=EXTRAWORD
thereby ^rb++++=thereby
contributing ^vbg+++xvbg+=contributing
to ^in++++=to
ongoing ^nn+++??+=ongoing
educational ^jj+atrb+++=educational
development ^nn++++=development.
. ^zz++++=EXTRAWORD
In ^in++++=In
this ^dt+dem+++=this
context ^nn++++=context,
, ^zz++++=EXTRAWORD
creating ^vbg+++xvbg+=creating
opportunities ^nns++++=opportunities
for ^in++++=for
discussion ^nn++++=discussion
that ^tht+rel+subj++=that
extend ^vb++++=extend
beyond ^in++++=beyond
disciplinary ^nn+++??+=disciplinary
content ^nn++++=content
establishes ^vbz+vprv+++=establishes
a ^at++++=a
framework ^nn++++=framework
that ^tht+rel+obj++=that
integrates ^nns+++??+=integrates
information ^nn++++=information
support ^vb++++=support
related ^vbd+++xvbn+=related
to ^in++++=to
Covid ^np+++??+=COVID-19,
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
well ^rb++++=well
as ^in++++=as
socio ^nn+++??+=socio-affective
- ^zz++++=EXTRAWORD
affective ^nn+++??+=EXTRAWORD
and ^cc++++=and
cognitive ^nn+++??+=cognitive
processing ^vwbg+++xvbg+=processing.
. ^zz++++=EXTRAWORD
To ^to++++=To
promote ^vbi++++=promote
the ^ati++++=the
comprehensive ^jj+atrb+++=comprehensive
development ^nn++++=development
of ^in++++=of
both ^abx++++=both
educators ^nns++++=educators
and ^cc++++=and
learners ^nns++++=learners,
, ^zz++++=EXTRAWORD
it ^pp3+it+++=it
is ^vbz+bez+vrb++=is
important ^jj+pred+++=important
to ^to+jcmp+++=to
maintain ^vbi+vpub+++=maintain
a ^at++++=a
balanced ^jj+atrb++xvbn+=balanced
emphasis ^nn++++=emphasis
on ^in++++=on
these ^dt+dem+++=these
three ^cd++++=three
components ^nns++++=components
during ^in++++=during
and ^cc++++=and
after ^in++++=after
the ^ati++++=the
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
pandemic ^nn+++??+=pandemic.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
approach ^nn++++=approach
contrasts ^nns++++=contrasts
with ^in++++=with
a ^at++++=a
strictly ^rb++++=strictly
multidisciplinary ^jj+atrb++??+=multidisciplinary
perspective ^nn++++=perspective,
, ^zz++++=EXTRAWORD
as ^in++++=as
evidence ^nn++++=evidence
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
both ^abx++++=both
positive ^jj+atrb+++=positive
and ^cc+phrs+++=and
negative ^jj+atrb+++=negative
stimuli ^nns++++=stimuli
can ^md+pos+++=can
influence ^vb++++=influence
associative ^nn+++??+=associative
neuroplasticity ^nn+++??+=neuroplasticity,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
encompasses ^vbz++++=encompasses
neural ^nn++++=neural
connectivity ^nn++++=connectivity,
, ^zz++++=EXTRAWORD
regulation ^nn++++=regulation,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
modulation ^nn++++=modulation
( ^zz++++=(74).
74 ^cd++++=EXTRAWORD
). ^nn++++=EXTRAWORD
