Some ^dti++++=Some
uncertainty ^nn++++=uncertainty
exists ^vbz++++=exists
due ^jj+cmpx+++=due
to ^to+jcmp+++=to
the ^ati++++=the
novelty ^nn++++=novelty
of ^in++++=of
the ^ati++++=the
disease ^nn++++=disease
and ^cc++++=and
the ^ati++++=the
limited ^jj+atrb++xvbn+=limited
availability ^nn++++=availability
of ^in++++=of
biochemical ^jj+atrb+++=biochemical
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
which ^whp+rel+subj++=which
may ^md+pos+++=may
result ^vb++++=result
in ^in++++=in
misattribution ^nn+++??+=misattribution
of ^in++++=of
the ^ati++++=the
cause ^nn++++=cause
of ^in++++=of
death ^nn++++=death
to ^in++++=to
factors ^nns++++=factors
other ^ap++++=other
than ^in++++=than
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
in ^in++++=in
certain ^jj+atrb+++=certain
cases ^nns++++=cases.
. ^zz++++=EXTRAWORD
In ^in++++=In
accordance ^nn++++=accordance
with ^in++++=with
the ^ati++++=the
guidelines ^nn++++=guidelines
established ^vwbn+vprv++xvbn+=established
by ^in++++=by
the ^ati++++=the
Brazilian ^jj+atrb+++=Brazilian
Ministry ^nn++++=Ministry
of ^in++++=of
Health ^nn++++=Health,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
included ^vbd+++xvbn+=included
in ^in++++=in
our ^pp$+pp1+++=our
analysis ^nn++++=analysis
both ^abx++++=both
deaths ^nns++++=deaths
directly ^rb++++=directly
attributed ^vbd+++xvbn+=attributed
to ^in++++=to
Covid ^np+++??+=COVID-19
- ^zz++++=EXTRAWORD
19 ^cd++++=EXTRAWORD
( ^zz++++=(suspected
suspected ^vbd+vprv++xvbn+=EXTRAWORD
and ^cc+phrs+++=and
confirmed ^vbd+vpub++xvbn+=confirmed
cases ^nns++++=cases)
) ^zz++++=EXTRAWORD
and ^cc++++=and
the ^ati++++=the
excess ^jj+atrb+++=excess
deaths ^nns++++=deaths
attributed ^vwbn+++xvbn+=attributed
to ^in++++=to
Severe ^jj+atrb+++=Severe
Acute ^jj+atrb+++=Acute
Respiratory ^jj+atrb+++=Respiratory
Syndrome ^np+++??+=Syndrome
( ^zz++++=(SARS)
sars ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
as ^in++++=as
reported ^nn++++=reported
by ^in++++=by
Arpen ^np+++??+=ARPEN
in ^in++++=in
2020 ^cd++++=2020
compared ^vbd+++xvbn+=compared
to ^to++++=to
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
using ^vbg+++xvbg+=using
the ^ati++++=the
difference ^nn++++=difference
between ^in++++=between
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths
in ^in++++=in
2020 ^cd++++=2020
and ^cc++++=and
those ^dt+dem+++=those
in ^in++++=in
2019 ^cd++++=2019
as ^in++++=as
the ^ati++++=the
baseline ^nn++++=baseline.
. ^zz++++=EXTRAWORD
