An ^at++++=An
approximate ^jj+atrb+++=approximate
analysis ^nn++++=analysis
based ^vwbn+++xvbn+=based
on ^in++++=on
data ^nns++++=data
from ^in++++=from
S ^zz++++=S
o ^zz++++=o
Paulo ^np+++??+=Paulo
City ^nn++++=City
suggests ^vbz+vpub+++=suggests
that ^tht+vcmp+++=that
a ^at++++=a
Social ^jj+atrb+++=Social
Distancing ^np+++??+=Distancing
Index ^nn++++=Index,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
defined ^vbd+vprv++xvbn+=defined
and ^cc+phrs+++=and
reported ^vbd+vpub++xvbn+=reported
by ^in++++=by
the ^ati++++=the
State ^nn++++=State
Government ^nn++++=Government,
, ^zz++++=EXTRAWORD
greater ^jjr++++=greater
than ^in++++=than
55 ^cd++++=55%
% ^zz++++=EXTRAWORD
may ^md+pos+++=may
be ^vb+be+aux++=be
required ^vpsv++agls+xvbnx+=required
to ^to+vcmp+++=to
achieve ^vbi++++=achieve
a ^at++++=a
reduction ^nn++++=reduction
in ^in++++=in
the ^ati++++=the
number ^nn++++=number
of ^in++++=of
deaths ^nns++++=deaths.
. ^zz++++=EXTRAWORD
