Vegetative ^np+++??+=Vegetative
or ^cc++++=or
fertile ^jj+atrb+++=fertile
branches ^nns++++=branches
were ^vbd+bed+aux++=were
collected ^vpsv++agls+xvbnx+=collected
from ^in++++=from
shrubs ^nns++++=shrubs
and ^cc++++=and
trees ^nns++++=trees,
, ^zz++++=EXTRAWORD
when ^wrb+who+++=when
available ^jj++++=available,
, ^zz++++=EXTRAWORD
for ^in++++=for
the ^ati++++=the
purposes ^nns++++=purposes
of ^in++++=of
herborization ^nn+++??+=herborization
and ^cc++++=and
taxonomic ^jj+atrb++??+=taxonomic
identification ^nn++++=identification.
. ^zz++++=EXTRAWORD
Climbers ^np+++??+=Climbers
were ^vbd+bed+vrb++=were
not ^xnot++not++=not
botanically ^jj+++??+=botanically
identified ^jj+++xvbn+=identified
to ^to++++=to
prevent ^vbi++++=prevent
potential ^jj+atrb+++=potential
negative ^jj+atrb+++=negative
impacts ^nns+++??+=impacts
on ^in++++=on
their ^pp$+pp3+++=their
population ^nn++++=population
dynamics ^nn++++=dynamics,
, ^zz++++=EXTRAWORD
as ^in++++=as
the ^ati++++=the
collection ^nn++++=collection
of ^in++++=of
a ^at++++=a
single ^jj+atrb+++=single
stem ^nn++++=stem
could ^md+pos+++=could
result ^vb++++=result
in ^in++++=in
the ^ati++++=the
death ^nn++++=death
of ^in++++=of
the ^ati++++=the
monitored ^jj+++xvbn+=monitored
individual ^jj++++=individual
( ^zz++++=(Sheil
sheil ^nn+++??+=EXTRAWORD
1995a ^cd++++=1995a).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Consequently ^rb+cnj+++=Consequently,
, ^zz++++=EXTRAWORD
only ^rb+down+++=only
the ^ati++++=the
overall ^jjb+atrb+++=overall
structure ^nn++++=structure
and ^cc++++=and
dynamics ^nn++++=dynamics
of ^in++++=of
the ^ati++++=the
climber ^nn++++=climber
synusia ^nn+++??+=synusia
were ^vbd+bed+aux++=were
assessed ^vpsv++agls+xvbnx+=assessed,
, ^zz++++=EXTRAWORD
without ^in++++=without
conducting ^nn++++=conducting
a ^at++++=a
floristic ^nn++++=floristic
analysis ^nn++++=analysis
for ^in++++=for
this ^dt+dem+++=this
group ^nn++++=group.
. ^zz++++=EXTRAWORD
