Given ^vbd+++xvbn+=Given
the ^ati++++=the
existence ^nn++++=existence
of ^in++++=of
a ^at++++=a
co ^nn++++=co-integrating
- ^zz++++=EXTRAWORD
integrating ^vbg+++xvbg+=EXTRAWORD
vector ^nn++++=vector
among ^in++++=among
the ^ati++++=the
variables ^nns++++=variables,
, ^zz++++=EXTRAWORD
as ^in++++=as
indicated ^nn++++=indicated
by ^in++++=by
the ^ati++++=the
results ^nns++++=results
of ^in++++=of
the ^ati++++=the
co ^nn++++=co-integration
- ^zz++++=EXTRAWORD
integration ^nn++++=EXTRAWORD
tests ^nns++++=tests,
, ^zz++++=EXTRAWORD
a ^at++++=a
Vector ^nn++++=Vector
Error ^nn++++=Error
Correction ^nn++++=Correction
Model ^nn++++=Model
( ^zz++++=(VECM)
vecm ^nn+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
is ^vbz+bez+aux++=is
employed ^vpsv++agls+xvbnx+=employed
to ^to++++=to
examine ^vbi++++=examine
the ^ati++++=the
speed ^nn++++=speed
at ^rb++++=at
which ^whp+who+++=which
short ^jj++++=short-run
- ^zz++++=EXTRAWORD
run ^vb+++xvbn+=EXTRAWORD
dynamics ^nn++++=dynamics
adjust ^vb++++=adjust
towards ^in++++=towards
the ^ati++++=the
long ^jj++++=long-run
- ^zz++++=EXTRAWORD
run ^vb++++=EXTRAWORD
equilibrium ^nn++++=equilibrium.
. ^zz++++=EXTRAWORD
