Group ^nn++++=Group
1 ^zz++++=1
comprises ^vbz++++=comprises
countries ^nns++++=countries
that ^tht+rel+obj++=that
either ^dtx++++=either
maintain ^vb+vpub+++=maintain
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
exclusively ^rb++++=exclusively
for ^in++++=for
specific ^jj+atrb+++=specific
population ^nn++++=population
groups ^nns++++=groups,
, ^zz++++=EXTRAWORD
such ^abl++++=such
as ^ql++++=as
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
or ^cc+cls+++=or
have ^vb+hv+aux++=have
discontinued ^vprf+++xvbnx+=discontinued
their ^pp$+pp3+++=their
vaccination ^nn++++=vaccination
programs ^nns+++??+=programs
altogether ^rb+amp+++=altogether.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
group ^nn++++=group
includes ^vb++++=includes
the ^ati++++=the
United ^np++++=United
States ^nns++++=States,
, ^zz++++=EXTRAWORD
Spain ^np++++=Spain,
, ^zz++++=EXTRAWORD
Italy ^np++++=Italy,
, ^zz++++=EXTRAWORD
Germany ^np++++=Germany,
, ^zz++++=EXTRAWORD
France ^np++++=France,
, ^zz++++=EXTRAWORD
Iran ^np+++??+=Iran,
, ^zz++++=EXTRAWORD
the ^ati++++=the
United ^np++++=United
Kingdom ^nn++++=Kingdom,
 ^zz++++=EXTRAWORD
Belgium ^np++++=Belgium,
 ^zz++++=EXTRAWORD
Switzerland ^np++++=Switzerland,
 ^zz++++=EXTRAWORD
And ^cc+cls+++=and
The ^ati++++=the
Netherlands ^np++++=Netherlands.
 ^zz++++=EXTRAWORD
