A ^at++++=A
notable ^jj++++=notable
finding ^xvbg+++xvbg+=finding
emerges ^vbz++++=emerges
when ^wrb+who+++=when
comparing ^jj+atrb++xvbg+=comparing
groups ^nns++++=groups
3 ^zz++++=3
and ^cc++++=and
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
Group ^nn++++=Group
3 ^zz++++=3
exhibits ^nns++++=exhibits
an ^at++++=an
incidence ^nn++++=incidence
rate ^nn++++=rate
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
3.12 ^cd++++=3.12
times ^nns++++=times
higher ^jjr++++=higher
and ^cc++++=and
a ^at++++=a
mortality ^nn++++=mortality
coefficient ^nn++++=coefficient
that ^tht+rel+subj++=that
is ^vbz+bez+vrb++=is
43 ^cd++++=43%
% ^zz++++=EXTRAWORD
lower ^jjr++++=lower
( ^zz++++=(p
p ^zz++++=EXTRAWORD
< ^zz++++=<
0.001 ^nn+++??+=0.001)
) ^zz++++=EXTRAWORD
than ^in++++=than
group ^nn++++=group
4 ^zz++++=4.
. ^zz++++=EXTRAWORD
This ^dt+dem+++=This
pattern ^nn++++=pattern
may ^md+pos+++=may
indicate ^vb+vprv+++=indicate
a ^at++++=a
greater ^jjr+atrb+++=greater
diagnostic ^nn+++??+=diagnostic
capacity ^nn++++=capacity
in ^in++++=in
the ^ati++++=the
country ^nn++++=country
associated ^vbd+++xvbn+=associated
with ^in++++=with
group ^nn++++=group
3 ^zz++++=3,
, ^zz++++=EXTRAWORD
resulting ^vbg+++xvbg+=resulting
in ^in++++=in
the ^ati++++=the
identification ^nn++++=identification
of ^in++++=of
more ^ql++++=more
cases ^nns++++=cases
with ^in++++=with
comparatively ^rb++++=comparatively
lower ^jjr+atrb+++=lower
severity ^nn++++=severity.
. ^zz++++=EXTRAWORD
