Capoeira ^np+++??+=Capoeira
too ^ql++++=too
is ^vbz+bez+vrb++=is
an ^at++++=an
embodied ^jj+atrb++xvbn+=embodied
social ^jj+atrb+++=social
practice ^nn++++=practice
that ^tht+rel+obj++=that
its ^pp$+it+++=its
adherents ^nns++++=adherents
embrace ^vb++++=embrace
as ^ql++++=as
they ^pp3a+pp3+++=they
acquire ^vb++++=acquire
the ^ati++++=the
habitus ^nns+++??+=habitus
( ^zz++++=(as
as ^ql++++=EXTRAWORD
Achilles ^np+++??+=Achilles
calls ^vbz++++=calls
it ^pp3+it+++=it,
, ^zz++++=EXTRAWORD
the ^ati++++=the
way ^nn++++=way
de ^&fw++++=de
capoeira ^nn+++??+=capoeira
) ^zz++++=)
during ^in++++=during
formal ^jj+atrb+++=formal
pedagogic ^nn++++=pedagogic
instruction ^nn+nom+++=instruction
( ^zz++++=(2008,
2008 ^cd++++=EXTRAWORD
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
70 ^cd++++=70).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
