Spoken ^vprf+++xvbn+=Spoken
language ^nn+nom+++=language
can ^md+pos+++=can
also ^rb++++=also
be ^vb+be+aux++=be
substituted ^vpsv++by+xvbnx+=substituted
by ^in++++=by
the ^ati++++=the
demonstration ^nn+nom+++=demonstration
of ^in++++=of
the ^ati++++=the
movement ^nn+nom+++=movement
alone ^rb++++=alone.
. ^zz++++=EXTRAWORD
On ^in++++=On
one ^cd1++++=one
occasion ^nn++++=occasion,
, ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
gathers ^nns+nom+++=gathers
his ^pp$+pp3+++=his
students ^nns++++=students
at ^in++++=at
one ^cd1++++=one
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
room ^nn++++=room
and ^cc++++=and
starts ^vbz++++=starts
performing ^vbg+++xvbg+=performing
a ^at++++=a
movement ^nn+nom+++=movement
in ^in++++=in
silence ^nn+nom+++=silence,
, ^zz++++=EXTRAWORD
moving ^vbg+++xvbg+=moving
towards ^in++++=towards
the ^ati++++=the
other ^ap++++=other
side ^nn++++=side
of ^in++++=of
the ^ati++++=the
room ^nn++++=room,
, ^zz++++=EXTRAWORD
with ^in++++=with
his ^pp$+pp3+++=his
students ^nns++++=students
following ^vwbg+++xvbg+=following
him ^pp3o+pp3+++=him.
. ^zz++++=EXTRAWORD
Sandro ^np+++??+=Sandro
does ^vbz+doz+aux++=does
not ^xnot++not++=not
need ^vb++pmd"++=need
to ^to+vcmp+pmd++=to
explain ^vb+vpub+++=explain
verbally ^rb++++=verbally
what ^wdt+who+++=what
he ^pp3a+pp3+++=he
requires ^vbz++++=requires
from ^in++++=from
his ^pp$+pp3+++=his
students ^nns++++=students
the ^ati++++=the
activity ^nn+nom+++=activity
is ^vbz+bez+vrb++=is
familiar ^jj+pred+++=familiar.
. ^zz++++=EXTRAWORD
