Dialect ^nn++++=Dialect
and ^cc++++=and
register ^nn+nom+++=register
typically ^rb++++=typically
intersect ^nn+++??+=intersect.
. ^zz++++=EXTRAWORD
So ^rb++++=So
in ^in++++=in
capoeira ^nn+++??+=capoeira
the ^ati++++=the
Portuguese ^nn++++=Portuguese
made ^vbd+++xvbn+=made
available ^jj++++=available
involves ^vbz++++=involves
a ^at++++=a
register ^nn+nom+++=register
richly ^rb++++=richly
inflected ^jj++++=inflected
with ^in++++=with
Afro ^np+++??+=Afro-Brazilian
- ^zz++++=EXTRAWORD
brazilian ^jj+atrb+++=EXTRAWORD
language ^nn+nom+++=language
and ^cc++++=and
culture ^nn++++=culture.
. ^zz++++=EXTRAWORD
This ^dt+pdem+++=This
is ^vbz+bez+vrb++=is
part ^nn++++=part
of ^in++++=of
the ^ati++++=the
package ^nn+nom+++=package
that ^tht+rel+subj++=that
might ^md+pos+++=might
attract ^vb++++=attract
disapproval ^nn+nom+++=disapproval
from ^in++++=from
mainstream ^nn++++=mainstream
ideology ^nn++++=ideology
( ^zz++++=(cf.
cf ^vb++++=EXTRAWORD
. ^zz++++=EXTRAWORD
the ^ati++++=the
comments ^nns+nom+++=comments
of ^in++++=of
Sophie ^np++++=Sophie
s ^zz++++=s
Brazilian ^jj+atrb+++=Brazilian
ex ^np++++=ex).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
If ^cs+cnd+++=If
apprentice ^nn++++=apprentice
capoeiristas ^nns+++??+=capoeiristas
are ^vb+ber+aux++=are
learning ^vbg+vprv++xvbgx+=learning
a ^at++++=a
register ^nn+nom+++=register,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
can ^md+pos+++=can,
, ^zz++++=EXTRAWORD
following ^jj+++xvbg+=following
Agha ^np+++??+=Agha,
, ^zz++++=EXTRAWORD
suggest ^vb+vpub+++=suggest
that ^tht+vcmp+++=that
the ^ati++++=the
process ^nns+nom+++=process
is ^vbz+bez+vrb++=is
one ^pn++++=one
of ^in++++=of
enregisterment ^nn+nom+++=enregisterment
( ^zz++++=(AGHA,
agha ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
2003 ^cd++++=2003,
, ^zz++++=EXTRAWORD
Rhodes ^np++++=RHODES;
; ^zz++++=EXTRAWORD
Clonan ^np+++??+=CLONAN-ROY;
- ^zz++++=EXTRAWORD
roy ^np++++=EXTRAWORD
; ^zz++++=EXTRAWORD
Wortham ^np+++??+=WORTHAM,
, ^zz++++=EXTRAWORD
2020 ^cd++++=2020).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
However ^rb+cnj+++=However
the ^ati++++=the
idea ^nn++++=idea
of ^in++++=of
register ^nn+nom+++=register
here ^rn+pl+++=here
is ^vbz+bez+vrb++=is
not ^xnot++not++=not
narrowly ^rb++++=narrowly
linguistic ^jj++++=linguistic
since ^cs+sub+++=since
it ^pp3+it+++=it
involves ^vbz++++=involves
the ^ati++++=the
coordination ^nn+nom+++=coordination
of ^in++++=of
visual ^jj++++=visual/verbal/musical/embodied
and ^cc++++=and
other ^ap++++=other
elements ^nns+nom+++=elements
in ^in++++=in
an ^at++++=an
assemblage ^nn+nom+++=assemblage.
. ^zz++++=EXTRAWORD
Sophie ^np++++=Sophie
s ^zz++++=s
example ^nn++++=example
illustrates ^nns+nom+++=illustrates
that ^cs+sub+++=that
the ^ati++++=the
requirements ^nns+nom+++=requirements
for ^in++++=for
the ^ati++++=the
level ^nn++++=level
of ^in++++=of
knowledge ^nn++++=knowledge
of ^in++++=of
Portuguese ^jj+atrb+++=Portuguese
language ^nn+nom+++=language
and ^cc++++=and
culture ^nn++++=culture
are ^vb+ber+vrb++=are
different ^jj+pred+++=different
for ^in++++=for
