Each ^dt++++=Each
interview ^nn++++=interview,
, ^zz++++=EXTRAWORD
as ^cs+sub+++=as
mentioned ^vbd+vpub++xvbn+=mentioned
above ^jjb++++=above,
, ^zz++++=EXTRAWORD
was ^vbd+bedz+aux++=was
divided ^vpsv++agls+xvbnx+=divided
into ^in++++=into
two ^cd++++=two
parts ^nns++++=parts.
. ^zz++++=EXTRAWORD
Part ^nn++++=Part
1 ^zz++++=1
followed ^vbd+vprv++xvbn+=followed
a ^at++++=a
Gordon ^np++++=Gordon
and ^cc++++=and
Dawes ^np+++??+=Dawes
( ^zz++++=(2005)
2005 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
array ^nn++++=array
protocol ^nn++++=protocol,
, ^zz++++=EXTRAWORD
in ^in++++=in
which ^whp+rel+pied++=which
the ^ati++++=the
beliefs ^nns++++=beliefs,
, ^zz++++=EXTRAWORD
strategies ^nns+++??+=strategies,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
external ^jj+atrb+++=external
behavior ^nn++++=behavior
of ^in++++=of
participants ^nns+nom+++=participants
were ^vbd+bed+aux++=were
investigated ^vpsv++agls+xvbnx+=investigated
to ^to++++=to
understand ^vbi+vprv+++=understand
the ^ati++++=the
structure ^nn++++=structure
of ^in++++=of
their ^pp$+pp3+++=their
experience ^nn+nom+++=experience
in ^in++++=in
writing ^xvbg+++xvbg+=writing
and ^cc++++=and
publishing ^xvbg+++xvbg+=publishing
papers ^nns++++=papers
in ^in++++=in
high ^jj++++=high-impact
- ^zz++++=EXTRAWORD
impact ^nn++++=EXTRAWORD
journals ^nns+nom+++=journals
in ^in++++=in
the ^ati++++=the
field ^nn++++=field.
. ^zz++++=EXTRAWORD
questions ^nns+nom+++=Questions
related ^jj++++=related
to ^in++++=to
the ^ati++++=the
following ^jj+atrb+++=following
issues ^nns++++=issues
were ^vbd+bed+aux++=were
asked ^vbd+vsua+++=asked:
: ^zz++++=EXTRAWORD
