Indeed ^rb+cnj+++=Indeed,
, ^zz++++=EXTRAWORD
a ^at++++=a
number ^nn++++=number
of ^in++++=of
network ^nn++++=network
patterns ^nns++++=patterns
can ^md+pos+++=can
be ^vb+be+aux++=be
explained ^vpsv++by+xvbnx+=explained
by ^in++++=by
differences ^nns+nom+++=differences
in ^in++++=in
abundance ^nn+nom+++=abundance
among ^in++++=among
species ^nn++++=species
( ^zz++++=(V
v ^zz++++=EXTRAWORD
zquez ^nn+++??+=zquez
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2005 ^cd++++=2005,
, ^zz++++=EXTRAWORD
2007 ^cd++++=2007;
; ^zz++++=EXTRAWORD
Lewinsohn ^np+++??+=Lewinsohn
et ^&fw++++=et
al ^&fw++++=al.
. ^zz++++=EXTRAWORD
2006 ^cd++++=2006)
) ^zz++++=EXTRAWORD
which ^whp+who+++=which
suggest ^vb+vpub+++=suggest,
, ^zz++++=EXTRAWORD
in ^in++++=in
turn ^nn++++=turn,
, ^zz++++=EXTRAWORD
that ^tht+vcmp+++=that
opportunism ^nn+nom+++=opportunism
has ^vbz+hvz+vrb++=has
a ^at++++=a
central ^jj+atrb+++=central
role ^nn++++=role
in ^in++++=in
the ^ati++++=the
organization ^nn+nom+++=organization
of ^in++++=of
many ^ap++++=many
ecological ^jj+atrb+++=ecological
networks ^nns++++=networks.
. ^zz++++=EXTRAWORD
Opportunism ^nn+nom+++=Opportunism
may ^md+pos+++=may
allow ^vb++++=allow
species ^nn++++=species
to ^to++++=to
engage ^vbi++++=engage
in ^in++++=in
new ^jj+atrb+++=new
types ^nns++++=types
of ^in++++=of
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
exploring ^vbg+++xvbg+=exploring
novel ^nn++++=novel
resources ^nns++++=resources
and ^cc++++=and
structuring ^nn++++=structuring,
, ^zz++++=EXTRAWORD
at ^rb++++=at
the ^ati++++=the
community ^nn+nom+++=community
level ^nn++++=level,
, ^zz++++=EXTRAWORD
networks ^nns++++=networks
of ^in++++=of
interacting ^jj+atrb+++=interacting
species ^nn++++=species.
. ^zz++++=EXTRAWORD
To ^to++++=To
engage ^vbi++++=engage
in ^in++++=in
new ^jj+atrb+++=new
interactions ^nns+nom+++=interactions,
, ^zz++++=EXTRAWORD
those ^dt+dem+++=those
species ^nn++++=species
should ^md+nec+++=should
be ^vb+be+vrb++=be
able ^jj+pred+++=able,
, ^zz++++=EXTRAWORD
by ^in++++=by
their ^pp$+pp3+++=their
traits ^nns++++=traits
and ^cc++++=and
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
to ^in++++=to
interact ^nn+++??+=interact
with ^in++++=with
a ^at++++=a
broad ^jj+atrb+++=broad
diversity ^nn+nom+++=diversity
of ^in++++=of
individuals ^nns+nom+++=individuals
and ^cc++++=and
species ^nn++++=species.
. ^zz++++=EXTRAWORD
Thus ^rb+cnj+++=Thus,
, ^zz++++=EXTRAWORD
not ^xnot++not++=not
only ^rb+down+++=only
resource ^vb++++=resource
availability ^nn+nom+++=availability
would ^md+prd+++=would
determine ^vb++++=determine
the ^ati++++=the
engagement ^nn+nom+++=engagement
of ^in++++=of
new ^jj+atrb+++=new
interactions ^nns+nom+++=interactions
and ^cc++++=and
the ^ati++++=the
opportunistic ^jj+atrb+++=opportunistic
behavior ^nn++++=behavior,
, ^zz++++=EXTRAWORD
but ^cc+cls+++=but
also ^rb++++=also
the ^ati++++=the
diversity ^nn+nom+++=diversity
of ^in++++=of
resource ^nn++++=resource
consumption ^nn+nom+++=consumption.
. ^zz++++=EXTRAWORD
