Once ^rb+tm+++=Once
materials ^nns+nom+++=materials
have ^vb+hv+aux++=have
been ^vprf+ben+aux+xvbnx+=been
archived ^vpsv++agls+xvbnx+=archived,
, ^zz++++=EXTRAWORD
many ^ap++++=many
years ^nns++++=years
may ^md+pos+++=may
pass ^vb++++=pass
before ^cs+sub+++=before
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
utilized ^vpsv++by+xvbnx+=utilized
by ^in++++=by
others ^aps++++=others.
. ^zz++++=EXTRAWORD
For ^in++++=For
example ^nn++++=example,
, ^zz++++=EXTRAWORD
linguist ^nn+nom+++=linguist
Catherine ^np++++=Catherine
Callaghan ^np+nom+++=Callaghan
( ^zz++++=(1931-2019)
1931 ^cd+date+++=EXTRAWORD
- ^zz++++=EXTRAWORD
2019 ^cd++++=EXTRAWORD
) ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=made
a ^at++++=a
series ^nn++++=series
of ^in++++=of
recordings ^nns++++=recordings
of ^in++++=of
Sarah ^np++++=Sarah
Ballard ^np+++??+=Ballard
speaking ^vwbg+++xvbg+=speaking
Bodega ^np+++??+=Bodega
Miwok ^np+++??+=Miwok
( ^zz++++=(Miwokan;
miwokan ^jj++++=EXTRAWORD
; ^zz++++=EXTRAWORD
California ^np++++=California)
) ^zz++++=EXTRAWORD
in ^in++++=in
1960 ^cd+date+++=1960,
, ^zz++++=EXTRAWORD
while ^cs+sub+++=while
the ^ati++++=the
former ^ap++++=former
was ^vbd+bedz+vrb++=was
a ^at++++=a
graduate ^nn+nom+++=graduate
student ^nn++++=student
in ^in++++=in
linguistics ^nn++++=linguistics
at ^in++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
California ^np++++=California,
, ^zz++++=EXTRAWORD
Berkeley ^np++++=Berkeley
( ^zz++++=(PhD,
phd ^nn+++??+=EXTRAWORD
, ^zz++++=EXTRAWORD
1963 ^cd+date+++=1963).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
She ^pp3a+pp3+++=She
donated ^vwbn+++xvbn+=donated
these ^dt+pdem+++=these
and ^cc++++=and
other ^ap++++=other
recordings ^nns++++=recordings
to ^in++++=to
the ^ati++++=the
California ^np++++=California
Language ^nn+nom+++=Language
Archive14 ^np+++??+=Archive14
in ^in++++=in
1979 ^cd+date+++=1979
( ^zz++++=(BALLARD
ballard ^nn+++??+=EXTRAWORD
and ^cc++++=and
Callaghan ^np+nom+++=CALLAGHAN,
, ^zz++++=EXTRAWORD
n.d. ^nn+++??+=n.d.).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
Forty ^cd++++=Forty
years ^nns++++=years
later ^rbr+tm+++=later,
, ^zz++++=EXTRAWORD
in ^in++++=in
2019 ^cd++++=2019,
, ^zz++++=EXTRAWORD
linguist ^nn+nom+++=linguist
Andrew ^np++++=Andrew
Cowell ^np+++??+=Cowell
( ^zz++++=(Berkeley
berkeley ^np++++=EXTRAWORD
Phd ^np+++??+=PhD
in ^in++++=in
1993 ^cd+date+++=1993)
) ^zz++++=EXTRAWORD
made ^vprf+++xvbn+=made
