Finally ^rb+cnj+++=Finally,
, ^zz++++=EXTRAWORD
we ^pp1a+pp1+++=we
stress ^vb+vpub+++=stress
that ^tht+vcmp+++=that
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
can ^md+pos+++=can
be ^vb+be+aux++=be
utilized ^vpsv++agls+xvbnx+=utilized
on ^in++++=on
an ^at++++=an
ongoing ^jj+atrb++xvbg+=ongoing
basis ^nn++++=basis,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
that ^tht+vcmp+++=that
usage ^nn++++=usage
requires ^vbz++++=requires
interpretation ^nn+nom+++=interpretation
a ^at++++=a
creative ^jj+atrb+++=creative
process ^nns+nom+++=process
of ^in++++=of
understanding ^xvbg+++xvbg+=understanding
of ^in++++=of
what ^wdt+who+++=what
those ^dt+dem+++=those
materials ^nns+nom+++=materials
meant ^vbd+vprv++xvbn+=meant
to ^to+vcmp+++=to
their ^pp$+pp3+++=their
creators ^nns++++=creators,
, ^zz++++=EXTRAWORD
what ^wdt+who+++=what
new ^jj+atrb+++=new
meanings ^nns++++=meanings
they ^pp3a+pp3+++=they
might ^md+pos+++=might
take ^vb++++=take
on ^rb+phrv+++=on
in ^in++++=in
the ^ati++++=the
context ^nn++++=context
in ^in++++=in
which ^whp+rel+pied++=which
they ^pp3a+pp3+++=they
are ^vb+ber+aux++=are
being ^vbg+beg+aux+xvbg+=being
used ^vbd+++xvbn+=used,
, ^zz++++=EXTRAWORD
and ^cc+cls+++=and
what ^wdt+who+++=what
roles ^nns++++=roles
[ ^zz++++=[contemporary
contemporary ^nn+nom+++=EXTRAWORD
actors ^nns++++=actors]
] ^zz++++=EXTRAWORD
themselves ^ppls+pp3+++=themselves
as ^ql++++=as
persons ^nns++++=persons
might ^md+pos+++=might
play ^vb++++=play
in ^in++++=in
the ^ati++++=the
materials ^nns+nom+++=materials
circulation ^nn+nom+++=circulation
and ^cc++++=and
reception ^nn+nom+++=reception
( ^zz++++=(DOBRIN
dobrin ^nn+++??+=EXTRAWORD
and ^cc++++=and
Schwartz ^np+++??+=SCHWARTZ,
, ^zz++++=EXTRAWORD
2021 ^cd++++=2021,
, ^zz++++=EXTRAWORD
p ^zz++++=p.
. ^zz++++=EXTRAWORD
23 ^cd++++=23).
) ^zz++++=EXTRAWORD
. ^zz++++=EXTRAWORD
One ^cd1++++=One
especially ^rb++++=especially
productive ^jj+atrb+++=productive
example ^nn++++=example
of ^in++++=of
ongoing ^xvbg+++xvbg+=ongoing
work ^nn++++=work
with ^in++++=with
legacy ^nn++++=legacy
materials ^nns+nom+++=materials
is ^vbz+bez+vrb++=is
the ^ati++++=the
biennial ^jj+atrb+++=biennial
Breath ^nn++++=Breath
of ^in++++=of
Life ^nn++++=Life
Archival ^np+nom++??+=Archival
Institute ^nn++++=Institute
for ^in++++=for
Indigenous ^jj+atrb+++=Indigenous
California ^np++++=California
Languages ^nns+nom+++=Languages
( ^zz++++=(see
see ^vb+vprv+++=EXTRAWORD
Gehr ^np+++??+=GEHR,
, ^zz++++=EXTRAWORD
2013 ^cd++++=2013)
) ^zz++++=EXTRAWORD
held ^vbd+vprv++xvbn+=held
at ^rb++++=at
the ^ati++++=the
University ^nn+nom+++=University
of ^in++++=of
California ^np++++=California,
, ^zz++++=EXTRAWORD
Berkeley ^np++++=Berkeley,
, ^zz++++=EXTRAWORD
organized ^xvbn+++xvbn+=organized
by ^in++++=by
the ^ati++++=the
Advocates ^nns+nom+++=Advocates
for ^in++++=for
Indigenous ^jj+atrb+++=Indigenous
California ^np++++=California
Language ^nn+nom+++=Language
Survival ^nn+nom+++=Survival
( ^zz++++=(AICLS)
aicls ^nns+++??+=EXTRAWORD
) ^zz++++=EXTRAWORD
in ^in++++=in
conjunction ^nn+nom+++=conjunction
with ^in++++=with
the ^ati++++=the
Survey ^nn++++=Survey
of ^in++++=of
California ^np++++=California
and ^cc++++=and
Other ^ap++++=Other
Indian ^jj+atrb+++=Indian
Languages ^nns+nom+++=Languages,
, ^zz++++=EXTRAWORD
which ^whp+rel+obj++=which
houses ^nns++++=houses
the ^ati++++=the
California ^np++++=California
Language ^nn+nom+++=Language
Archive ^np+++??+=Archive.
. ^zz++++=EXTRAWORD
The ^ati++++=The
Institute ^nn++++=Institute
brings ^vbz++++=brings
indigenous ^jj+atrb+++=indigenous
people ^nns++++=people
to ^in++++=to
the ^ati++++=the
Berkeley ^np++++=Berkeley
campus ^nn++++=campus
to ^to++++=to
collaborate ^nn+nom+++=collaborate
with ^in++++=with
volunteer ^nn+nom+++=volunteer
linguists ^nns+nom+++=linguists
in ^in++++=in
the ^ati++++=the
interpretation ^nn+nom+++=interpretation
of ^in++++=of
archival ^jj+atrb+++=archival
materials ^nns+nom+++=materials,
, ^zz++++=EXTRAWORD
many ^ap++++=many
of ^in++++=of
